# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_neg1_mol2_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL2"
"0.0";"4.210736"
"10.0";"4.09362"
"20.0";"4.064615"
"30.0";"4.358724"
"40.0";"4.127715"
"50.0";"4.10516"
"60.0";"4.185918"
"70.0";"4.367426"
"80.0";"4.169413"
"90.0";"4.328898"
"100.0";"3.934315"
"110.0";"3.774719"
"120.0";"3.877539"
"130.0";"3.687698"
"140.0";"3.55882"
"150.0";"3.889142"
"160.0";"3.522116"
"170.0";"3.329401"
"180.0";"3.297081"
"190.0";"3.3327"
"200.0";"3.41728"
"210.0";"3.482153"
"220.0";"3.55106"
"230.0";"3.464533"
"240.0";"3.291224"
"250.0";"3.354506"
"260.0";"3.45999"
"270.0";"3.551313"
"280.0";"3.782186"
"290.0";"3.571045"
"300.0";"3.81958"
"310.0";"3.829666"
"320.0";"4.065674"
"330.0";"4.422866"
"340.0";"4.387359"
"350.0";"3.871142"
"360.0";"3.815633"
"370.0";"4.328125"
"380.0";"4.389761"
"390.0";"4.394815"
"400.0";"4.77156"
"410.0";"4.857234"
"420.0";"4.709109"
"430.0";"4.709083"
"440.0";"5.043308"
"450.0";"5.258455"
"460.0";"4.944484"
"470.0";"4.847022"
"480.0";"4.895352"
"490.0";"4.989768"
"500.0";"5.429353"
"510.0";"5.54866"
"520.0";"5.568958"
"530.0";"5.497805"
"540.0";"5.565927"
"550.0";"5.614434"
"560.0";"5.573709"
"570.0";"5.35314"
"580.0";"5.429793"
"590.0";"5.234629"
"600.0";"5.449898"
"610.0";"5.425366"
"620.0";"5.141308"
"630.0";"5.281992"
"640.0";"5.315426"
"650.0";"5.341816"
"660.0";"5.469408"
"670.0";"5.489791"
"680.0";"5.380529"
"690.0";"5.285144"
"700.0";"5.195871"
"710.0";"5.470156"
"720.0";"5.636754"
"730.0";"5.582074"
"740.0";"5.565224"
"750.0";"5.680079"
"760.0";"5.601138"
"770.0";"5.69064"
"780.0";"5.315568"
"790.0";"5.291823"
"800.0";"5.295035"
"810.0";"4.654543"
"820.0";"4.755744"
"830.0";"4.469727"
"840.0";"4.687154"
"850.0";"4.974079"
"860.0";"4.881633"
"870.0";"4.359025"
"880.0";"4.807032"
"890.0";"4.727608"
"900.0";"4.677145"
"910.0";"4.595433"
"920.0";"4.534513"
"930.0";"4.936847"
"940.0";"5.039979"
"950.0";"5.573328"
"960.0";"5.765278"
"970.0";"5.846773"
"980.0";"5.764454"
"990.0";"5.880645"
"1000.0";"5.713889"
"1010.0";"5.567653"
"1020.0";"5.489229"
"1030.0";"5.502792"
"1040.0";"5.769776"
"1050.0";"5.750132"
"1060.0";"5.761999"
"1070.0";"5.664745"
"1080.0";"5.935194"
"1090.0";"6.023804"
"1100.0";"5.968832"
"1110.0";"5.933351"
"1120.0";"5.711609"
"1130.0";"5.547449"
"1140.0";"5.321538"
"1150.0";"5.330097"
"1160.0";"5.495685"
"1170.0";"5.708"
"1180.0";"5.486995"
"1190.0";"4.827703"
"1200.0";"5.052804"
"1210.0";"5.095556"
"1220.0";"5.252176"
"1230.0";"5.22008"
"1240.0";"5.790619"
"1250.0";"5.811643"
"1260.0";"5.532641"
"1270.0";"5.481526"
"1280.0";"5.507408"
"1290.0";"5.514386"
"1300.0";"5.526567"
"1310.0";"5.407119"
"1320.0";"5.6807"
"1330.0";"5.339484"
"1340.0";"5.28126"
"1350.0";"5.662464"
"1360.0";"5.747375"
"1370.0";"5.663806"
"1380.0";"5.594283"
"1390.0";"5.691919"
"1400.0";"5.870012"
"1410.0";"5.751523"
"1420.0";"5.606149"
"1430.0";"5.590559"
"1440.0";"5.729371"
"1450.0";"5.77658"
"1460.0";"5.939787"
"1470.0";"5.925313"
"1480.0";"6.111636"
"1490.0";"6.242508"
"1500.0";"6.047224"
"1510.0";"5.89779"
"1520.0";"5.917107"
"1530.0";"6.14093"
"1540.0";"6.16845"
"1550.0";"5.980526"
"1560.0";"6.10147"
"1570.0";"5.980145"
"1580.0";"5.643104"
"1590.0";"5.939988"
"1600.0";"5.776219"
"1610.0";"5.653419"
"1620.0";"5.593769"
"1630.0";"5.429138"
"1640.0";"5.557182"
"1650.0";"5.786705"
"1660.0";"5.752477"
"1670.0";"5.723604"
"1680.0";"5.520638"
"1690.0";"5.668937"
"1700.0";"5.585317"
"1710.0";"5.436467"
"1720.0";"5.31163"
"1730.0";"4.927427"
"1740.0";"5.250593"
"1750.0";"5.206949"
"1760.0";"5.226194"
"1770.0";"5.363426"
"1780.0";"5.399221"
"1790.0";"5.101735"
"1800.0";"4.704305"
"1810.0";"4.878193"
"1820.0";"4.693429"
"1830.0";"4.494614"
"1840.0";"4.216187"
"1850.0";"4.322983"
"1860.0";"4.25928"
"1870.0";"4.454724"
"1880.0";"4.65712"
"1890.0";"4.732539"
"1900.0";"5.502612"
"1910.0";"5.659057"
"1920.0";"5.653824"
"1930.0";"5.495011"
"1940.0";"5.272986"
"1950.0";"5.763339"
"1960.0";"5.916807"
"1970.0";"5.670771"
"1980.0";"5.516572"
"1990.0";"5.601299"
"2000.0";"5.562879"
"2010.0";"5.487974"
"2020.0";"5.593283"
"2030.0";"5.644073"
"2040.0";"5.588889"
"2050.0";"5.570542"
"2060.0";"5.395899"
"2070.0";"5.193923"
"2080.0";"5.045913"
"2090.0";"5.058103"
"2100.0";"5.304821"
"2110.0";"5.713134"
"2120.0";"5.874653"
"2130.0";"5.724882"
"2140.0";"5.735471"
"2150.0";"5.930384"
"2160.0";"6.120054"
"2170.0";"5.799719"
"2180.0";"5.953707"
"2190.0";"5.884747"
"2200.0";"6.067217"
"2210.0";"5.873535"
"2220.0";"5.981116"
"2230.0";"5.85823"
"2240.0";"5.627615"
"2250.0";"5.458722"
"2260.0";"5.623604"
"2270.0";"5.547258"
"2280.0";"5.206046"
"2290.0";"5.160495"
"2300.0";"5.006707"
"2310.0";"4.94367"
"2320.0";"4.979135"
"2330.0";"5.005624"
"2340.0";"5.07199"
"2350.0";"5.145284"
"2360.0";"5.112606"
"2370.0";"5.055267"
"2380.0";"4.903741"
"2390.0";"5.021288"
"2400.0";"5.065582"
"2410.0";"5.057364"
"2420.0";"5.065391"
"2430.0";"5.016845"
"2440.0";"5.087749"
"2450.0";"5.319507"
"2460.0";"5.385374"
"2470.0";"5.259548"
"2480.0";"5.224603"
"2490.0";"5.357615"
"2500.0";"5.199113"
"2510.0";"4.764736"
"2520.0";"5.058199"
"2530.0";"4.838225"
"2540.0";"4.887672"
"2550.0";"4.898368"
"2560.0";"4.798834"
"2570.0";"4.409342"
"2580.0";"4.35815"
"2590.0";"4.381355"
"2600.0";"4.314498"
"2610.0";"4.346394"
"2620.0";"4.049265"
"2630.0";"3.939574"
"2640.0";"4.090194"
"2650.0";"3.975717"
"2660.0";"3.720673"
"2670.0";"3.326637"
"2680.0";"3.128861"
"2690.0";"3.262328"
"2700.0";"3.390227"
"2710.0";"3.428881"
"2720.0";"3.537783"
"2730.0";"3.534014"
"2740.0";"3.486139"
"2750.0";"3.792431"
"2760.0";"3.767999"
"2770.0";"3.693763"
"2780.0";"3.94521"
"2790.0";"3.470261"
"2800.0";"3.542883"
"2810.0";"3.409779"
"2820.0";"3.553263"
"2830.0";"3.761024"
"2840.0";"3.524009"
"2850.0";"3.711412"
"2860.0";"3.501641"
"2870.0";"3.500798"
"2880.0";"3.736488"
"2890.0";"4.114025"
"2900.0";"3.79967"
"2910.0";"3.764206"
"2920.0";"3.744543"
"2930.0";"3.770572"
"2940.0";"3.47366"
"2950.0";"3.693267"
"2960.0";"3.608768"
"2970.0";"3.732451"
"2980.0";"3.561772"
"2990.0";"3.469586"
"3000.0";"3.203125"
"3010.0";"3.169857"
"3020.0";"3.411719"
"3030.0";"3.319737"
"3040.0";"3.398332"
"3050.0";"3.484729"
"3060.0";"3.669955"
"3070.0";"3.508283"
"3080.0";"3.29814"
"3090.0";"3.393015"
"3100.0";"3.435848"
"3110.0";"3.486591"
"3120.0";"3.515728"
"3130.0";"3.701676"
"3140.0";"3.86607"
"3150.0";"3.934194"
"3160.0";"3.792189"
"3170.0";"3.783644"
"3180.0";"4.081766"
"3190.0";"4.005413"
"3200.0";"4.410802"
"3210.0";"4.225719"
"3220.0";"4.284564"
"3230.0";"4.589815"
"3240.0";"4.757983"
"3250.0";"4.579207"
"3260.0";"4.381908"
"3270.0";"4.607558"
"3280.0";"4.496606"
"3290.0";"4.168638"
"3300.0";"4.104832"
"3310.0";"4.396802"
"3320.0";"4.625371"
"3330.0";"4.404205"
"3340.0";"4.304599"
"3350.0";"4.694909"
"3360.0";"4.970735"
"3370.0";"4.986657"
"3380.0";"5.329787"
"3390.0";"5.459451"
"3400.0";"5.419806"
"3410.0";"5.456767"
"3420.0";"5.309579"
"3430.0";"4.995835"
"3440.0";"4.904599"
"3450.0";"4.84722"
"3460.0";"4.895372"
"3470.0";"4.637838"
