# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol2_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL2"
"0.0";"0.1811353"
"10.0";"0.1718894"
"20.0";"0.196797"
"30.0";"0.1730463"
"40.0";"0.1994016"
"50.0";"0.1942628"
"60.0";"0.1743188"
"70.0";"0.1829099"
"80.0";"0.1906357"
"90.0";"0.1936105"
"100.0";"0.1851484"
"110.0";"0.1685616"
"120.0";"0.1784066"
"130.0";"0.2028548"
"140.0";"0.1863756"
"150.0";"0.2033815"
"160.0";"0.3667926"
"170.0";"0.4793118"
"180.0";"0.2946777"
"190.0";"0.4093911"
"200.0";"0.4536124"
"210.0";"0.4922419"
"220.0";"0.3868087"
"230.0";"0.2633269"
"240.0";"0.2097643"
"250.0";"0.1885125"
"260.0";"0.2451976"
"270.0";"0.1797721"
"280.0";"0.2284624"
"290.0";"0.2076294"
"300.0";"0.1890685"
"310.0";"0.2090596"
"320.0";"0.2451838"
"330.0";"0.233859"
"340.0";"0.2943026"
"350.0";"0.3846118"
"360.0";"0.4402873"
"370.0";"0.504886"
"380.0";"0.5070088"
"390.0";"0.631996"
"400.0";"0.759908"
"410.0";"0.635882"
"420.0";"0.5123318"
"430.0";"0.3374622"
"440.0";"0.2879221"
"450.0";"0.4562086"
"460.0";"0.2710592"
"470.0";"0.3406232"
"480.0";"0.3621839"
"490.0";"0.5056817"
"500.0";"0.4388827"
"510.0";"0.3261194"
"520.0";"0.3941888"
"530.0";"0.3403149"
"540.0";"0.3182041"
"550.0";"0.2175432"
"560.0";"0.1884965"
"570.0";"0.2004116"
"580.0";"0.1744876"
"590.0";"0.1709208"
"600.0";"0.1862312"
"610.0";"0.2014423"
"620.0";"0.185976"
"630.0";"0.2061187"
"640.0";"0.1958218"
"650.0";"0.2905614"
"660.0";"0.1835155"
"670.0";"0.1969974"
"680.0";"0.1766751"
"690.0";"0.2070386"
"700.0";"0.1885366"
"710.0";"0.1898446"
"720.0";"0.1824746"
"730.0";"0.1960077"
"740.0";"0.1759457"
"750.0";"0.226722"
"760.0";"0.2023213"
"770.0";"0.2121933"
"780.0";"0.2137385"
"790.0";"0.2052073"
"800.0";"0.2248868"
"810.0";"0.2284425"
"820.0";"0.1983555"
"830.0";"0.1961326"
"840.0";"0.2669719"
"850.0";"0.2144786"
"860.0";"0.2107396"
"870.0";"0.195382"
"880.0";"0.1846454"
"890.0";"0.2144433"
"900.0";"0.2170668"
"910.0";"0.2122596"
"920.0";"0.1826579"
"930.0";"0.1994243"
"940.0";"0.1789166"
"950.0";"0.2359683"
"960.0";"0.2301087"
"970.0";"0.2383296"
"980.0";"0.2211271"
"990.0";"0.1921355"
"1000.0";"0.1846783"
"1010.0";"0.2088493"
"1020.0";"0.2579787"
"1030.0";"0.199875"
"1040.0";"0.2280835"
"1050.0";"0.2348298"
"1060.0";"0.2480806"
"1070.0";"0.2233628"
"1080.0";"0.2264993"
"1090.0";"0.2125088"
"1100.0";"0.1966467"
"1110.0";"0.193941"
"1120.0";"0.1863011"
"1130.0";"0.2106326"
"1140.0";"0.1850672"
"1150.0";"0.1901736"
"1160.0";"0.1782387"
"1170.0";"0.1784406"
"1180.0";"0.1720234"
"1190.0";"0.1789326"
"1200.0";"0.1881781"
"1210.0";"0.1718692"
"1220.0";"0.1846242"
"1230.0";"0.1852295"
"1240.0";"0.1709357"
"1250.0";"0.1764621"
"1260.0";"0.1856122"
"1270.0";"0.1729421"
"1280.0";"0.1738766"
"1290.0";"0.1715255"
"1300.0";"0.1790364"
"1310.0";"0.1704172"
"1320.0";"0.1797942"
"1330.0";"0.1891162"
"1340.0";"0.1716217"
"1350.0";"0.1702029"
"1360.0";"0.1795496"
"1370.0";"0.1937553"
"1380.0";"0.1858115"
"1390.0";"0.1799579"
"1400.0";"0.1766664"
"1410.0";"0.1729074"
"1420.0";"0.1811348"
"1430.0";"0.1927096"
"1440.0";"0.1909844"
"1450.0";"0.1753571"
"1460.0";"0.1889023"
"1470.0";"0.2001096"
"1480.0";"0.213434"
"1490.0";"0.1704173"
"1500.0";"0.2165941"
"1510.0";"0.1991232"
"1520.0";"0.206381"
"1530.0";"0.216864"
"1540.0";"0.1798331"
"1550.0";"0.1946639"
"1560.0";"0.1943322"
"1570.0";"0.1905098"
"1580.0";"0.1845782"
"1590.0";"0.1883056"
"1600.0";"0.176598"
"1610.0";"0.1877553"
"1620.0";"0.17912"
"1630.0";"0.1956192"
"1640.0";"0.190562"
"1650.0";"0.1878566"
"1660.0";"0.1950414"
"1670.0";"0.1910653"
"1680.0";"0.1899974"
"1690.0";"0.1814027"
"1700.0";"0.1871738"
