# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_dist_hbonds_mol3.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"0.0025";"0.0"
"0.0075";"0.0"
"0.0125";"0.0"
"0.0175";"0.0"
"0.0225";"0.0"
"0.0275";"0.0"
"0.0325";"0.0"
"0.0375";"0.0"
"0.0425";"0.0"
"0.0475";"0.0"
"0.0525";"0.0"
"0.0575";"0.0"
"0.0625";"0.0"
"0.0675";"0.0"
"0.0725";"0.0"
"0.0775";"0.0"
"0.0825";"0.0"
"0.0875";"0.0"
"0.0925";"0.0"
"0.0975";"0.0"
"0.1025";"0.0"
"0.1075";"0.0"
"0.1125";"0.0"
"0.1175";"0.0"
"0.1225";"0.0"
"0.1275";"0.0"
"0.1325";"0.0"
"0.1375";"0.0"
"0.1425";"0.0"
"0.1475";"0.0"
"0.1525";"0.0"
"0.1575";"0.0"
"0.1625";"0.0"
"0.1675";"0.0"
"0.1725";"0.0"
"0.1775";"0.0"
"0.1825";"0.0"
"0.1875";"0.0"
"0.1925";"0.0"
"0.1975";"0.0"
"0.2025";"0.0"
"0.2075";"0.0"
"0.2125";"0.0"
"0.2175";"0.0"
"0.2225";"0.0"
"0.2275";"0.0"
"0.2325";"0.0"
"0.2375";"0.0"
"0.2425";"0.225162"
"0.2475";"0.85843"
"0.2525";"2.40642"
"0.2575";"4.46102"
"0.2625";"5.82606"
"0.2675";"9.62567"
"0.2725";"15.0718"
"0.2775";"21.3904"
"0.2825";"23.0791"
"0.2875";"22.0799"
"0.2925";"21.1652"
"0.2975";"17.1686"
"0.3025";"12.6794"
"0.3075";"10.7374"
"0.3125";"8.59837"
"0.3175";"6.33268"
"0.3225";"4.99578"
"0.3275";"3.43372"
"0.3325";"2.94118"
"0.3375";"2.50493"
"0.3425";"2.519"
"0.3475";"1.8998"
