# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol7_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL7-inner_dimer_area"
"0.0";"4.039503"
"10.0";"4.222611"
"20.0";"4.205808"
"30.0";"4.125638"
"40.0";"4.098269"
"50.0";"4.148103"
"60.0";"4.190342"
"70.0";"4.225821"
"80.0";"3.947648"
"90.0";"3.796871"
"100.0";"3.833459"
"110.0";"3.706068"
"120.0";"3.704067"
"130.0";"3.942712"
"140.0";"3.847105"
"150.0";"3.629669"
"160.0";"3.688672"
"170.0";"3.684067"
"180.0";"3.734498"
"190.0";"3.640486"
"200.0";"3.906014"
"210.0";"3.875775"
"220.0";"3.878708"
"230.0";"3.764985"
"240.0";"3.925124"
"250.0";"3.902262"
"260.0";"3.791092"
"270.0";"3.923665"
"280.0";"3.918058"
"290.0";"3.730157"
"300.0";"3.95671"
"310.0";"3.994559"
"320.0";"3.898739"
"330.0";"3.687618"
"340.0";"3.866058"
"350.0";"4.018689"
"360.0";"4.099894"
"370.0";"4.236592"
"380.0";"4.190784"
"390.0";"4.193424"
"400.0";"4.03099"
"410.0";"4.214527"
"420.0";"4.329851"
"430.0";"4.511033"
"440.0";"4.415618"
"450.0";"4.465373"
"460.0";"4.05759"
"470.0";"4.250684"
"480.0";"4.274967"
"490.0";"4.353187"
"500.0";"4.389635"
"510.0";"4.3957"
"520.0";"4.392238"
"530.0";"4.377663"
"540.0";"4.326956"
"550.0";"4.225912"
"560.0";"4.180749"
"570.0";"3.948412"
"580.0";"3.958304"
"590.0";"4.026829"
"600.0";"4.037323"
"610.0";"3.664334"
"620.0";"3.592009"
"630.0";"3.451744"
"640.0";"3.70379"
"650.0";"3.559747"
"660.0";"3.600462"
"670.0";"3.654033"
"680.0";"3.612064"
"690.0";"3.709407"
"700.0";"3.511088"
"710.0";"3.341344"
"720.0";"3.590309"
