# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_neg1_mol3_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL3"
"0.0";"5.349359"
"10.0";"5.341142"
"20.0";"5.558046"
"30.0";"5.81895"
"40.0";"5.571501"
"50.0";"5.314791"
"60.0";"4.927282"
"70.0";"4.989606"
"80.0";"4.716187"
"90.0";"4.85905"
"100.0";"4.182158"
"110.0";"4.419476"
"120.0";"4.338786"
"130.0";"4.49297"
"140.0";"4.722832"
"150.0";"4.316072"
"160.0";"4.488317"
"170.0";"4.146251"
"180.0";"4.493938"
"190.0";"4.459406"
"200.0";"4.382485"
"210.0";"4.304101"
"220.0";"4.073698"
"230.0";"3.990469"
"240.0";"3.800409"
"250.0";"3.429798"
"260.0";"3.367796"
"270.0";"3.500874"
"280.0";"3.572653"
"290.0";"3.729664"
"300.0";"4.031648"
"310.0";"3.909989"
"320.0";"3.940419"
"330.0";"4.105707"
"340.0";"4.071376"
"350.0";"3.928528"
"360.0";"3.960267"
"370.0";"3.966745"
"380.0";"4.056617"
"390.0";"4.086565"
"400.0";"4.075288"
"410.0";"3.890167"
"420.0";"3.68088"
"430.0";"3.39687"
"440.0";"3.649649"
"450.0";"3.470189"
"460.0";"3.706554"
"470.0";"3.642211"
"480.0";"3.814654"
"490.0";"3.930883"
"500.0";"3.947371"
"510.0";"4.192322"
"520.0";"4.221701"
"530.0";"3.944528"
"540.0";"3.929279"
"550.0";"4.276454"
"560.0";"4.305173"
"570.0";"4.521691"
"580.0";"4.581001"
"590.0";"4.848148"
"600.0";"4.537448"
"610.0";"4.30017"
"620.0";"4.084097"
"630.0";"4.134857"
"640.0";"4.173"
"650.0";"4.348147"
"660.0";"4.337364"
"670.0";"4.392133"
"680.0";"4.121226"
"690.0";"4.064258"
"700.0";"4.132669"
"710.0";"4.052631"
"720.0";"4.006747"
"730.0";"4.031082"
"740.0";"4.297982"
"750.0";"4.21292"
"760.0";"3.99677"
"770.0";"4.134687"
"780.0";"4.210452"
"790.0";"4.162487"
"800.0";"4.123997"
"810.0";"3.90959"
"820.0";"3.644818"
"830.0";"3.418263"
"840.0";"3.192197"
"850.0";"2.959806"
"860.0";"3.414018"
"870.0";"3.079149"
"880.0";"3.276339"
"890.0";"3.057296"
"900.0";"2.833809"
"910.0";"2.753353"
"920.0";"2.797602"
"930.0";"2.645322"
"940.0";"2.56048"
"950.0";"2.485752"
"960.0";"2.700548"
"970.0";"2.672336"
"980.0";"2.797439"
"990.0";"2.578173"
"1000.0";"2.708237"
"1010.0";"2.799528"
"1020.0";"2.814332"
"1030.0";"2.630142"
"1040.0";"2.903696"
"1050.0";"2.991733"
"1060.0";"3.17904"
"1070.0";"3.151301"
"1080.0";"3.264531"
"1090.0";"3.557121"
"1100.0";"3.822097"
"1110.0";"3.50158"
"1120.0";"3.676082"
"1130.0";"3.407171"
"1140.0";"3.457076"
"1150.0";"3.342486"
"1160.0";"3.372386"
"1170.0";"3.6057"
"1180.0";"3.131719"
"1190.0";"3.235514"
"1200.0";"3.51305"
"1210.0";"3.534913"
"1220.0";"3.545025"
"1230.0";"3.366965"
"1240.0";"3.478166"
"1250.0";"3.349385"
"1260.0";"3.302397"
"1270.0";"3.30176"
"1280.0";"3.242868"
"1290.0";"3.608368"
"1300.0";"3.004198"
"1310.0";"3.310518"
"1320.0";"3.471271"
"1330.0";"3.781744"
"1340.0";"3.951708"
"1350.0";"3.723707"
"1360.0";"3.34741"
"1370.0";"3.263067"
"1380.0";"3.217423"
"1390.0";"3.592567"
"1400.0";"3.606064"
"1410.0";"3.343618"
"1420.0";"3.218553"
"1430.0";"3.411092"
"1440.0";"3.405363"
"1450.0";"3.381364"
"1460.0";"3.402329"
"1470.0";"3.483962"
"1480.0";"3.415609"
"1490.0";"3.668781"
"1500.0";"3.504755"
"1510.0";"3.447904"
"1520.0";"3.4212"
"1530.0";"3.002563"
"1540.0";"2.89105"
"1550.0";"3.182242"
"1560.0";"3.325635"
"1570.0";"3.473765"
"1580.0";"3.458897"
"1590.0";"3.248889"
"1600.0";"3.119278"
"1610.0";"3.562874"
"1620.0";"3.590494"
"1630.0";"3.641153"
"1640.0";"3.787613"
"1650.0";"3.943987"
"1660.0";"4.006704"
"1670.0";"3.8782"
"1680.0";"3.982073"
"1690.0";"3.754255"
"1700.0";"3.803319"
"1710.0";"3.790306"
"1720.0";"4.309227"
"1730.0";"4.436308"
"1740.0";"4.667289"
"1750.0";"4.494228"
"1760.0";"4.353491"
"1770.0";"4.200847"
"1780.0";"3.981921"
"1790.0";"4.350705"
"1800.0";"4.430641"
"1810.0";"4.547019"
"1820.0";"5.00654"
"1830.0";"5.099183"
"1840.0";"4.798681"
"1850.0";"4.854298"
"1860.0";"4.573381"
"1870.0";"4.245231"
"1880.0";"4.53735"
"1890.0";"4.670549"
"1900.0";"4.942937"
"1910.0";"4.726803"
"1920.0";"4.408508"
"1930.0";"4.401763"
"1940.0";"4.531869"
"1950.0";"4.495668"
"1960.0";"4.835022"
"1970.0";"5.088697"
"1980.0";"5.275152"
"1990.0";"5.212723"
"2000.0";"5.439828"
"2010.0";"5.627492"
"2020.0";"5.558369"
"2030.0";"5.832179"
"2040.0";"6.04625"
"2050.0";"6.230029"
"2060.0";"5.872026"
"2070.0";"5.507427"
"2080.0";"5.196705"
"2090.0";"5.441312"
"2100.0";"5.659902"
"2110.0";"5.418016"
"2120.0";"5.479324"
"2130.0";"5.490425"
"2140.0";"5.778494"
"2150.0";"6.21133"
"2160.0";"6.114418"
"2170.0";"6.296471"
"2180.0";"6.120782"
"2190.0";"5.988592"
"2200.0";"6.164299"
"2210.0";"6.20016"
"2220.0";"6.397825"
"2230.0";"6.39924"
"2240.0";"6.242789"
"2250.0";"6.093268"
"2260.0";"6.403456"
"2270.0";"6.302005"
"2280.0";"6.605906"
"2290.0";"6.440043"
"2300.0";"6.252563"
"2310.0";"6.405791"
"2320.0";"6.343903"
"2330.0";"6.089844"
"2340.0";"5.933819"
"2350.0";"6.062425"
"2360.0";"6.4196"
"2370.0";"6.725769"
"2380.0";"6.606369"
"2390.0";"6.2862"
"2400.0";"6.25631"
"2410.0";"6.141771"
"2420.0";"6.298078"
"2430.0";"6.528365"
"2440.0";"6.625278"
"2450.0";"6.636292"
"2460.0";"6.662226"
"2470.0";"6.736599"
"2480.0";"6.538321"
"2490.0";"6.326013"
"2500.0";"6.200209"
"2510.0";"5.963124"
"2520.0";"5.939852"
"2530.0";"5.846499"
"2540.0";"6.149605"
"2550.0";"5.768875"
"2560.0";"5.864162"
"2570.0";"5.64527"
"2580.0";"5.323747"
"2590.0";"5.318181"
"2600.0";"5.599147"
"2610.0";"5.892423"
"2620.0";"5.817953"
"2630.0";"5.669217"
"2640.0";"5.8337"
"2650.0";"5.997708"
"2660.0";"6.029639"
"2670.0";"6.140718"
"2680.0";"5.991705"
"2690.0";"5.990736"
"2700.0";"5.422587"
"2710.0";"5.646372"
"2720.0";"5.639896"
"2730.0";"5.510036"
"2740.0";"5.027652"
"2750.0";"4.753544"
"2760.0";"4.970056"
"2770.0";"5.048533"
"2780.0";"4.814529"
"2790.0";"4.884963"
"2800.0";"4.65468"
"2810.0";"5.010794"
"2820.0";"5.124438"
"2830.0";"5.194571"
"2840.0";"5.279434"
"2850.0";"5.080505"
"2860.0";"5.11811"
"2870.0";"5.183418"
"2880.0";"5.232439"
"2890.0";"5.593199"
"2900.0";"5.872147"
"2910.0";"5.951918"
"2920.0";"6.061526"
"2930.0";"6.161434"
"2940.0";"6.35603"
"2950.0";"6.182599"
"2960.0";"6.377806"
"2970.0";"6.411402"
"2980.0";"6.199464"
"2990.0";"6.402786"
"3000.0";"6.336342"
"3010.0";"6.312131"
"3020.0";"6.288884"
"3030.0";"6.242541"
"3040.0";"6.473682"
"3050.0";"6.248774"
"3060.0";"6.246262"
"3070.0";"6.218526"
"3080.0";"6.451485"
"3090.0";"6.151791"
"3100.0";"6.046208"
"3110.0";"5.933042"
"3120.0";"6.020193"
"3130.0";"6.396736"
"3140.0";"6.251603"
"3150.0";"6.308907"
"3160.0";"6.22222"
"3170.0";"6.278494"
"3180.0";"6.098827"
"3190.0";"6.075064"
"3200.0";"5.872519"
"3210.0";"5.61486"
"3220.0";"5.776698"
"3230.0";"5.759254"
"3240.0";"6.013708"
"3250.0";"5.893309"
"3260.0";"5.803461"
"3270.0";"5.648607"
"3280.0";"5.730175"
"3290.0";"5.458516"
"3300.0";"5.682668"
"3310.0";"5.919186"
"3320.0";"6.096169"
"3330.0";"6.240141"
"3340.0";"6.015323"
"3350.0";"5.99829"
"3360.0";"5.900992"
"3370.0";"5.571538"
"3380.0";"5.49754"
"3390.0";"5.777355"
"3400.0";"6.050121"
"3410.0";"6.07661"
"3420.0";"6.286582"
"3430.0";"6.145659"
"3440.0";"6.119745"
"3450.0";"5.912847"
"3460.0";"6.113319"
"3470.0";"6.026609"
"3480.0";"6.146584"
"3490.0";"5.94684"
"3500.0";"5.999824"
"3510.0";"6.020564"
"3520.0";"5.938911"
"3530.0";"5.617875"
"3540.0";"5.978431"
