# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol9_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL9-inner_dimer_area"
"0.0";"3.681463"
"10.0";"3.901576"
"20.0";"3.772302"
"30.0";"3.755911"
"40.0";"3.856202"
"50.0";"3.928026"
"60.0";"3.925761"
"70.0";"3.763873"
"80.0";"3.981494"
"90.0";"3.910572"
"100.0";"3.745535"
"110.0";"3.684684"
"120.0";"3.891978"
"130.0";"3.914889"
"140.0";"3.770918"
"150.0";"3.595558"
"160.0";"3.744224"
"170.0";"3.716033"
"180.0";"3.684287"
"190.0";"3.550156"
"200.0";"3.856438"
"210.0";"4.146783"
"220.0";"3.861856"
"230.0";"3.898578"
"240.0";"4.258322"
"250.0";"4.209499"
"260.0";"4.187994"
"270.0";"4.714055"
"280.0";"5.161432"
"290.0";"5.207345"
"300.0";"5.336771"
"310.0";"5.314754"
"320.0";"5.460454"
"330.0";"5.557407"
"340.0";"5.413323"
"350.0";"5.53923"
"360.0";"5.417975"
"370.0";"5.585518"
"380.0";"5.813727"
"390.0";"5.638183"
"400.0";"5.54232"
"410.0";"5.674232"
"420.0";"5.621962"
"430.0";"5.365326"
"440.0";"5.552823"
"450.0";"5.479679"
"460.0";"5.33218"
"470.0";"5.421314"
"480.0";"5.23076"
"490.0";"5.331841"
"500.0";"5.1538"
"510.0";"5.151236"
"520.0";"4.945905"
"530.0";"4.965753"
"540.0";"5.189654"
"550.0";"4.801066"
"560.0";"4.903446"
"570.0";"5.278685"
"580.0";"5.343464"
"590.0";"5.462735"
"600.0";"5.848711"
"610.0";"5.811254"
"620.0";"5.415145"
"630.0";"5.137125"
"640.0";"5.121624"
"650.0";"5.41199"
"660.0";"5.186773"
"670.0";"4.885638"
"680.0";"4.869242"
"690.0";"4.451938"
"700.0";"4.462199"
"710.0";"4.476254"
"720.0";"4.423793"
"730.0";"4.530939"
"740.0";"4.113932"
"750.0";"4.355865"
"760.0";"4.150277"
"770.0";"4.542095"
"780.0";"4.741901"
"790.0";"4.754095"
"800.0";"4.862811"
"810.0";"4.889791"
"820.0";"4.507831"
"830.0";"4.453236"
"840.0";"4.779735"
"850.0";"4.842041"
"860.0";"4.605616"
"870.0";"4.616538"
"880.0";"4.673214"
"890.0";"4.52209"
"900.0";"4.634336"
"910.0";"4.626235"
"920.0";"4.614451"
"930.0";"4.576262"
"940.0";"4.545665"
"950.0";"4.394529"
"960.0";"4.474974"
"970.0";"4.061215"
"980.0";"3.959998"
"990.0";"3.96368"
"1000.0";"3.684995"
"1010.0";"4.012102"
"1020.0";"3.87582"
"1030.0";"3.823221"
"1040.0";"3.680457"
"1050.0";"3.471032"
"1060.0";"3.644105"
"1070.0";"3.748307"
"1080.0";"3.81691"
"1090.0";"3.976374"
"1100.0";"4.035192"
"1110.0";"4.006506"
"1120.0";"3.889804"
"1130.0";"3.415232"
"1140.0";"3.571697"
"1150.0";"3.492368"
"1160.0";"3.461318"
"1170.0";"3.442273"
"1180.0";"3.583297"
"1190.0";"3.561053"
"1200.0";"3.600788"
"1210.0";"3.655576"
"1220.0";"3.693347"
"1230.0";"3.300617"
"1240.0";"3.36897"
"1250.0";"3.299007"
"1260.0";"3.107084"
"1270.0";"3.18127"
"1280.0";"3.104123"
"1290.0";"3.039376"
"1300.0";"3.181265"
"1310.0";"3.162392"
"1320.0";"3.445269"
"1330.0";"3.500805"
"1340.0";"3.509111"
"1350.0";"3.420479"
"1360.0";"3.574898"
"1370.0";"3.865515"
"1380.0";"3.729555"
"1390.0";"3.788008"
"1400.0";"3.305599"
"1410.0";"3.182789"
"1420.0";"3.030682"
"1430.0";"2.935165"
"1440.0";"2.840767"
"1450.0";"3.067389"
"1460.0";"2.516988"
"1470.0";"2.586328"
"1480.0";"2.460096"
"1490.0";"2.376252"
"1500.0";"2.232753"
"1510.0";"2.284246"
"1520.0";"2.312763"
"1530.0";"2.218472"
"1540.0";"2.363075"
"1550.0";"2.415774"
"1560.0";"2.579516"
"1570.0";"2.534882"
"1580.0";"2.6608"
"1590.0";"2.828203"
"1600.0";"2.891465"
"1610.0";"2.717668"
"1620.0";"2.502468"
"1630.0";"2.508662"
"1640.0";"2.593821"
"1650.0";"2.636303"
"1660.0";"2.761907"
"1670.0";"2.554773"
"1680.0";"2.766415"
"1690.0";"2.769832"
"1700.0";"2.831088"
"1710.0";"2.974254"
"1720.0";"3.074085"
"1730.0";"3.174436"
"1740.0";"3.425887"
"1750.0";"3.318381"
"1760.0";"3.257729"
"1770.0";"3.139635"
"1780.0";"3.2336"
"1790.0";"3.319272"
"1800.0";"3.22657"
"1810.0";"3.454679"
"1820.0";"3.503406"
"1830.0";"3.358594"
"1840.0";"3.320949"
"1850.0";"3.066417"
"1860.0";"3.164106"
"1870.0";"3.345919"
"1880.0";"3.670101"
"1890.0";"3.631597"
"1900.0";"3.377685"
"1910.0";"3.462059"
"1920.0";"3.578659"
"1930.0";"3.563841"
"1940.0";"3.462796"
"1950.0";"3.487949"
"1960.0";"3.393625"
"1970.0";"3.392296"
"1980.0";"3.689467"
"1990.0";"3.575524"
"2000.0";"3.448802"
"2010.0";"3.333717"
"2020.0";"3.224356"
"2030.0";"3.181228"
"2040.0";"3.418515"
"2050.0";"3.419519"
"2060.0";"3.166772"
"2070.0";"3.39926"
"2080.0";"3.426946"
"2090.0";"3.305092"
"2100.0";"3.423069"
"2110.0";"3.183671"
"2120.0";"3.282899"
"2130.0";"3.361577"
"2140.0";"3.414769"
"2150.0";"3.23561"
"2160.0";"3.280118"
"2170.0";"3.38015"
"2180.0";"2.976925"
"2190.0";"3.160602"
"2200.0";"3.211148"
"2210.0";"3.243218"
"2220.0";"3.258332"
"2230.0";"3.502286"
"2240.0";"3.417774"
"2250.0";"3.437788"
"2260.0";"3.337843"
"2270.0";"3.059602"
"2280.0";"3.001819"
"2290.0";"3.156471"
"2300.0";"3.099226"
"2310.0";"3.273218"
"2320.0";"3.458706"
"2330.0";"3.15511"
"2340.0";"2.836745"
"2350.0";"2.688274"
"2360.0";"2.65116"
"2370.0";"2.533621"
"2380.0";"2.795127"
"2390.0";"2.50593"
"2400.0";"2.561269"
"2410.0";"2.278117"
"2420.0";"2.204907"
"2430.0";"2.060557"
"2440.0";"2.077439"
"2450.0";"2.197967"
"2460.0";"2.32225"
"2470.0";"2.2732"
"2480.0";"2.4595"
"2490.0";"2.505206"
"2500.0";"2.642977"
"2510.0";"2.667702"
"2520.0";"2.432042"
"2530.0";"2.386978"
"2540.0";"2.375134"
"2550.0";"2.338632"
"2560.0";"2.375967"
"2570.0";"2.209314"
"2580.0";"2.34072"
"2590.0";"2.46588"
"2600.0";"2.355801"
"2610.0";"2.328397"
"2620.0";"2.575894"
"2630.0";"2.886802"
"2640.0";"3.009634"
"2650.0";"2.874676"
"2660.0";"2.776224"
"2670.0";"2.948191"
"2680.0";"3.077652"
"2690.0";"3.211892"
"2700.0";"3.429628"
"2710.0";"3.653268"
"2720.0";"3.43966"
"2730.0";"3.741421"
"2740.0";"3.803066"
"2750.0";"3.83106"
"2760.0";"3.7926"
"2770.0";"3.820545"
"2780.0";"3.929344"
"2790.0";"3.79235"
"2800.0";"3.587439"
"2810.0";"3.59217"
"2820.0";"3.78064"
"2830.0";"3.992485"
"2840.0";"3.878309"
"2850.0";"4.130837"
"2860.0";"4.025962"
"2870.0";"4.324092"
"2880.0";"4.284301"
"2890.0";"4.425319"
"2900.0";"4.347251"
"2910.0";"4.33249"
"2920.0";"4.365877"
"2930.0";"4.029536"
"2940.0";"4.067594"
"2950.0";"4.253455"
"2960.0";"4.263356"
"2970.0";"4.168309"
"2980.0";"4.366907"
"2990.0";"4.172762"
"3000.0";"4.254433"
"3010.0";"4.084198"
"3020.0";"3.9899"
"3030.0";"3.722809"
"3040.0";"3.789247"
"3050.0";"3.845699"
"3060.0";"4.200876"
"3070.0";"4.304851"
"3080.0";"4.333987"
"3090.0";"4.321929"
"3100.0";"4.233377"
"3110.0";"4.090458"
"3120.0";"4.162951"
"3130.0";"4.07044"
"3140.0";"4.122459"
"3150.0";"4.355887"
"3160.0";"4.062673"
"3170.0";"4.062427"
"3180.0";"4.195888"
"3190.0";"4.532107"
"3200.0";"4.397364"
"3210.0";"4.501678"
"3220.0";"4.332797"
"3230.0";"4.352396"
"3240.0";"4.235725"
"3250.0";"4.235043"
"3260.0";"4.189841"
"3270.0";"4.163012"
"3280.0";"4.425926"
"3290.0";"4.384899"
"3300.0";"4.194314"
"3310.0";"4.127338"
"3320.0";"3.936178"
"3330.0";"4.070826"
"3340.0";"4.042966"
"3350.0";"4.200329"
"3360.0";"4.264773"
"3370.0";"4.534707"
"3380.0";"4.688015"
"3390.0";"4.994907"
"3400.0";"4.691929"
"3410.0";"4.892598"
"3420.0";"4.896462"
"3430.0";"4.754422"
"3440.0";"4.738019"
"3450.0";"4.870757"
"3460.0";"5.013991"
"3470.0";"4.947466"
"3480.0";"4.830282"
"3490.0";"4.760437"
"3500.0";"4.522039"
"3510.0";"4.668497"
"3520.0";"4.384215"
"3530.0";"4.622631"
"3540.0";"4.538852"
"3550.0";"4.673121"
"3560.0";"4.589949"
"3570.0";"4.583664"
"3580.0";"4.646985"
"3590.0";"4.76761"
"3600.0";"4.920131"
"3610.0";"4.891785"
"3620.0";"4.740716"
"3630.0";"4.892495"
"3640.0";"5.053769"
"3650.0";"5.189581"
"3660.0";"5.446697"
"3670.0";"5.624729"
"3680.0";"5.761076"
"3690.0";"5.743852"
"3700.0";"5.649327"
"3710.0";"5.619636"
"3720.0";"5.629428"
"3730.0";"5.618769"
"3740.0";"5.646058"
"3750.0";"5.571476"
"3760.0";"5.34152"
"3770.0";"5.067616"
"3780.0";"5.245507"
"3790.0";"5.325947"
"3800.0";"5.437851"
"3810.0";"5.417141"
"3820.0";"5.479122"
"3830.0";"5.40266"
"3840.0";"5.370563"
"3850.0";"5.412721"
"3860.0";"5.271021"
"3870.0";"5.354448"
"3880.0";"5.50973"
"3890.0";"5.518692"
"3900.0";"5.354602"
"3910.0";"5.519634"
"3920.0";"5.676005"
"3930.0";"5.479995"
"3940.0";"5.368349"
"3950.0";"5.495148"
"3960.0";"5.414945"
"3970.0";"5.483888"
"3980.0";"5.397824"
"3990.0";"5.285567"
"4000.0";"5.546002"
"4010.0";"5.455645"
"4020.0";"5.200637"
"4030.0";"5.185697"
"4040.0";"5.289641"
"4050.0";"5.386107"
"4060.0";"5.590242"
"4070.0";"5.495969"
"4080.0";"5.897549"
"4090.0";"5.908554"
"4100.0";"5.885209"
"4110.0";"5.510649"
"4120.0";"5.412551"
"4130.0";"5.304728"
"4140.0";"5.587185"
"4150.0";"5.60274"
"4160.0";"5.729775"
"4170.0";"5.670234"
"4180.0";"5.61703"
"4190.0";"5.600467"
"4200.0";"5.410613"
"4210.0";"5.220884"
"4220.0";"5.129612"
"4230.0";"5.330318"
"4240.0";"5.47209"
"4250.0";"5.77956"
"4260.0";"5.720813"
"4270.0";"5.736227"
"4280.0";"5.626801"
"4290.0";"5.348155"
"4300.0";"5.468938"
"4310.0";"5.450565"
"4320.0";"5.314262"
"4330.0";"5.603402"
"4340.0";"5.229367"
"4350.0";"5.403698"
"4360.0";"5.077343"
"4370.0";"5.077782"
"4380.0";"5.129947"
"4390.0";"5.378147"
"4400.0";"5.451995"
"4410.0";"5.358023"
"4420.0";"5.204397"
"4430.0";"5.187886"
"4440.0";"5.19842"
"4450.0";"5.239917"
"4460.0";"5.190356"
"4470.0";"5.405994"
"4480.0";"5.288819"
"4490.0";"5.387873"
"4500.0";"5.124425"
"4510.0";"4.879134"
"4520.0";"5.368662"
"4530.0";"5.417853"
"4540.0";"5.337579"
"4550.0";"5.263837"
"4560.0";"5.345385"
"4570.0";"5.228844"
"4580.0";"5.268774"
"4590.0";"5.577976"
"4600.0";"5.696012"
"4610.0";"5.737198"
"4620.0";"5.385146"
"4630.0";"5.53018"
"4640.0";"5.721395"
"4650.0";"5.653408"
"4660.0";"5.538989"
"4670.0";"5.5647"
"4680.0";"5.684838"
"4690.0";"5.464734"
"4700.0";"5.770824"
"4710.0";"5.729205"
"4720.0";"5.82189"
"4730.0";"5.99284"
"4740.0";"6.040705"
"4750.0";"5.918829"
"4760.0";"5.828002"
"4770.0";"5.958585"
"4780.0";"6.024279"
"4790.0";"6.064611"
"4800.0";"6.073734"
"4810.0";"5.955089"
"4820.0";"5.8649"
"4830.0";"5.952274"
"4840.0";"5.979434"
"4850.0";"6.062742"
"4860.0";"6.086689"
"4870.0";"6.139791"
"4880.0";"6.174671"
"4890.0";"5.766888"
"4900.0";"5.464249"
"4910.0";"5.405336"
"4920.0";"5.379859"
"4930.0";"5.120479"
"4940.0";"5.133214"
"4950.0";"5.135838"
"4960.0";"4.824354"
"4970.0";"4.803216"
"4980.0";"4.90523"
"4990.0";"5.086067"
"5000.0";"5.164275"
"5010.0";"5.240558"
"5020.0";"5.103802"
"5030.0";"5.030498"
"5040.0";"5.431073"
"5050.0";"5.678069"
"5060.0";"5.568535"
"5070.0";"5.297487"
"5080.0";"5.170048"
"5090.0";"5.582444"
"5100.0";"5.287763"
"5110.0";"5.476409"
"5120.0";"5.602225"
"5130.0";"5.551772"
"5140.0";"5.409418"
"5150.0";"5.55671"
"5160.0";"5.872476"
"5170.0";"6.102501"
"5180.0";"5.899703"
"5190.0";"5.74366"
"5200.0";"5.768772"
"5210.0";"5.679382"
"5220.0";"5.994337"
"5230.0";"5.865232"
"5240.0";"5.789318"
"5250.0";"6.001209"
"5260.0";"5.915448"
"5270.0";"5.732338"
"5280.0";"5.758258"
"5290.0";"5.995879"
"5300.0";"5.770089"
"5310.0";"5.952572"
"5320.0";"5.881135"
"5330.0";"6.0241"
"5340.0";"5.968521"
"5350.0";"5.64206"
"5360.0";"5.78189"
"5370.0";"5.799138"
"5380.0";"5.684263"
"5390.0";"5.817297"
"5400.0";"5.858993"
"5410.0";"5.531271"
"5420.0";"5.684596"
"5430.0";"5.584116"
"5440.0";"5.47972"
"5450.0";"5.574127"
"5460.0";"5.121171"
"5470.0";"4.934415"
"5480.0";"4.710692"
"5490.0";"4.986176"
"5500.0";"5.061625"
"5510.0";"5.012563"
"5520.0";"4.977425"
"5530.0";"5.162436"
"5540.0";"5.124145"
"5550.0";"5.069362"
"5560.0";"4.949675"
"5570.0";"4.80281"
"5580.0";"4.423497"
"5590.0";"4.513374"
"5600.0";"4.567558"
"5610.0";"4.58846"
"5620.0";"4.325559"
"5630.0";"4.324123"
"5640.0";"4.331314"
"5650.0";"4.681777"
"5660.0";"4.667121"
"5670.0";"5.101373"
"5680.0";"4.978097"
"5690.0";"5.031168"
"5700.0";"5.138072"
"5710.0";"5.120003"
"5720.0";"5.061758"
"5730.0";"4.991099"
"5740.0";"5.10344"
"5750.0";"5.213922"
"5760.0";"5.297151"
"5770.0";"5.331197"
"5780.0";"5.052889"
"5790.0";"4.921524"
"5800.0";"4.739681"
"5810.0";"4.639974"
"5820.0";"4.539763"
"5830.0";"4.402791"
"5840.0";"4.268133"
"5850.0";"4.293496"
"5860.0";"4.276816"
"5870.0";"4.368156"
"5880.0";"4.229229"
"5890.0";"4.157116"
"5900.0";"4.33102"
"5910.0";"4.194734"
"5920.0";"4.194456"
"5930.0";"4.324454"
"5940.0";"4.114568"
"5950.0";"4.00759"
"5960.0";"4.262875"
"5970.0";"4.38928"
"5980.0";"4.391628"
"5990.0";"4.682252"
"6000.0";"4.508738"
"6010.0";"4.42282"
"6020.0";"4.321344"
"6030.0";"3.815109"
"6040.0";"3.830661"
"6050.0";"3.742885"
"6060.0";"3.948328"
"6070.0";"3.857106"
"6080.0";"3.413311"
"6090.0";"3.083721"
"6100.0";"3.21181"
"6110.0";"2.830366"
"6120.0";"2.697253"
"6130.0";"2.409711"
"6140.0";"2.738506"
"6150.0";"2.893279"
"6160.0";"3.090993"
"6170.0";"3.389836"
"6180.0";"3.187425"
"6190.0";"3.087242"
"6200.0";"2.726159"
"6210.0";"2.766801"
"6220.0";"2.71831"
"6230.0";"3.052707"
"6240.0";"3.102369"
"6250.0";"3.336447"
"6260.0";"3.500247"
"6270.0";"3.464663"
"6280.0";"3.463489"
"6290.0";"3.204951"
"6300.0";"2.701237"
"6310.0";"2.757648"
"6320.0";"2.821384"
"6330.0";"2.407818"
"6340.0";"2.377416"
"6350.0";"2.318182"
"6360.0";"2.392519"
"6370.0";"2.443902"
"6380.0";"2.287093"
"6390.0";"2.571083"
"6400.0";"2.839534"
"6410.0";"3.2184"
"6420.0";"3.031859"
"6430.0";"3.238065"
"6440.0";"3.128932"
"6450.0";"3.074275"
"6460.0";"3.170453"
"6470.0";"3.271828"
"6480.0";"3.245382"
"6490.0";"3.156709"
"6500.0";"3.271499"
"6510.0";"3.296179"
"6520.0";"2.92653"
"6530.0";"2.810778"
"6540.0";"2.939186"
"6550.0";"2.879966"
"6560.0";"3.221719"
"6570.0";"3.099808"
"6580.0";"3.221802"
"6590.0";"3.269795"
"6600.0";"3.131318"
"6610.0";"3.227162"
"6620.0";"3.097317"
"6630.0";"3.222868"
"6640.0";"3.130684"
"6650.0";"3.274206"
"6660.0";"3.076418"
"6670.0";"3.210163"
"6680.0";"3.210262"
"6690.0";"3.250809"
"6700.0";"3.491144"
"6710.0";"3.450448"
"6720.0";"3.290533"
"6730.0";"3.251577"
"6740.0";"3.231083"
"6750.0";"3.476489"
"6760.0";"3.28221"
"6770.0";"3.548624"
"6780.0";"3.583128"
"6790.0";"3.813296"
"6800.0";"3.874992"
"6810.0";"3.845368"
"6820.0";"3.878021"
"6830.0";"3.792256"
"6840.0";"4.062563"
"6850.0";"3.946381"
"6860.0";"3.895144"
"6870.0";"3.891225"
"6880.0";"4.00339"
"6890.0";"4.007689"
"6900.0";"3.939185"
"6910.0";"3.485323"
"6920.0";"3.905041"
"6930.0";"3.786152"
"6940.0";"3.739033"
"6950.0";"3.820819"
"6960.0";"3.834388"
"6970.0";"3.88475"
"6980.0";"3.826531"
"6990.0";"3.741937"
"7000.0";"3.761477"
"7010.0";"3.747783"
"7020.0";"3.70047"
"7030.0";"3.745482"
"7040.0";"3.599651"
"7050.0";"3.841873"
"7060.0";"4.055185"
"7070.0";"4.377517"
"7080.0";"4.422313"
"7090.0";"4.900582"
"7100.0";"5.049937"
"7110.0";"5.005236"
"7120.0";"5.005695"
"7130.0";"4.984241"
"7140.0";"4.567553"
"7150.0";"4.356813"
"7160.0";"4.122184"
"7170.0";"4.000595"
"7180.0";"3.825324"
"7190.0";"3.861593"
"7200.0";"4.015944"
"7210.0";"4.219122"
"7220.0";"3.947168"
"7230.0";"3.934504"
"7240.0";"3.883069"
"7250.0";"3.926734"
"7260.0";"3.773237"
"7270.0";"3.830263"
"7280.0";"3.982215"
"7290.0";"3.687448"
"7300.0";"3.682275"
"7310.0";"3.950974"
"7320.0";"3.967348"
"7330.0";"4.039194"
"7340.0";"4.303401"
"7350.0";"4.23542"
"7360.0";"3.967102"
"7370.0";"4.166984"
"7380.0";"4.116431"
"7390.0";"4.045032"
"7400.0";"4.030143"
"7410.0";"4.173537"
"7420.0";"4.050528"
"7430.0";"4.231177"
"7440.0";"4.215045"
"7450.0";"4.108424"
"7460.0";"3.955857"
"7470.0";"4.060846"
"7480.0";"4.186055"
"7490.0";"4.148162"
"7500.0";"4.385644"
"7510.0";"4.369135"
"7520.0";"4.385484"
"7530.0";"4.245185"
"7540.0";"4.371947"
"7550.0";"4.688073"
"7560.0";"4.74315"
"7570.0";"4.915153"
"7580.0";"4.781267"
"7590.0";"4.912613"
"7600.0";"5.104669"
"7610.0";"5.078217"
"7620.0";"4.911406"
"7630.0";"4.953088"
"7640.0";"5.107208"
"7650.0";"5.073078"
"7660.0";"5.365835"
"7670.0";"5.075366"
"7680.0";"5.162433"
"7690.0";"5.404049"
"7700.0";"5.400229"
"7710.0";"5.681845"
"7720.0";"5.567286"
"7730.0";"5.328718"
"7740.0";"5.440184"
"7750.0";"5.475454"
"7760.0";"5.273016"
"7770.0";"5.470671"
"7780.0";"5.780422"
"7790.0";"5.7431"
"7800.0";"5.492883"
"7810.0";"5.28543"
"7820.0";"4.874824"
"7830.0";"5.084315"
"7840.0";"4.988655"
"7850.0";"4.748404"
"7860.0";"4.536672"
"7870.0";"4.548708"
"7880.0";"4.078854"
"7890.0";"4.353514"
"7900.0";"4.379404"
"7910.0";"4.534936"
"7920.0";"4.627403"
"7930.0";"4.434697"
"7940.0";"4.554263"
"7950.0";"4.280126"
"7960.0";"4.670578"
"7970.0";"4.458404"
"7980.0";"4.843332"
"7990.0";"5.124817"
"8000.0";"5.134206"
"8010.0";"5.195599"
"8020.0";"5.053117"
"8030.0";"5.237403"
"8040.0";"5.224668"
"8050.0";"5.344178"
"8060.0";"5.267328"
"8070.0";"5.010713"
"8080.0";"4.902287"
"8090.0";"4.929373"
"8100.0";"4.769985"
"8110.0";"5.144838"
"8120.0";"5.016103"
"8130.0";"5.047275"
"8140.0";"5.078685"
"8150.0";"5.054051"
"8160.0";"4.867819"
"8170.0";"4.775547"
"8180.0";"4.500183"
"8190.0";"4.705282"
"8200.0";"4.684588"
"8210.0";"4.812676"
"8220.0";"4.750743"
"8230.0";"4.495855"
"8240.0";"4.567343"
"8250.0";"4.701758"
"8260.0";"4.550405"
"8270.0";"4.320937"
"8280.0";"4.494956"
"8290.0";"4.257676"
"8300.0";"4.016232"
"8310.0";"3.912536"
"8320.0";"4.056251"
"8330.0";"4.12951"
"8340.0";"4.028464"
