# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol4_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL4-dimer_area"
"0.0";"3.002874"
"10.0";"3.014796"
"20.0";"2.705996"
"30.0";"2.967586"
"40.0";"3.025314"
"50.0";"3.138819"
"60.0";"2.692717"
"70.0";"2.513106"
"80.0";"2.271568"
"90.0";"2.178359"
"100.0";"2.00244"
"110.0";"2.191858"
"120.0";"2.421785"
"130.0";"2.527604"
"140.0";"2.604265"
"150.0";"2.621323"
"160.0";"2.36016"
"170.0";"2.429427"
"180.0";"2.559923"
"190.0";"2.500535"
"200.0";"3.148833"
"210.0";"3.155452"
"220.0";"3.177194"
"230.0";"3.249435"
"240.0";"3.041654"
"250.0";"3.224421"
"260.0";"2.845199"
"270.0";"2.474633"
"280.0";"2.830089"
"290.0";"2.716546"
"300.0";"2.821263"
"310.0";"2.866381"
"320.0";"2.913163"
"330.0";"2.826252"
"340.0";"2.755307"
"350.0";"3.050306"
"360.0";"3.544556"
"370.0";"3.466788"
"380.0";"3.770414"
"390.0";"3.705048"
"400.0";"3.531526"
"410.0";"3.209387"
"420.0";"3.430768"
"430.0";"3.570385"
"440.0";"3.385479"
"450.0";"3.215166"
"460.0";"3.063935"
"470.0";"2.8335"
"480.0";"3.021456"
"490.0";"3.333025"
"500.0";"3.201101"
"510.0";"3.749512"
"520.0";"3.239769"
"530.0";"3.007322"
"540.0";"2.888409"
"550.0";"2.724456"
"560.0";"2.637087"
"570.0";"2.473317"
"580.0";"2.586398"
"590.0";"2.300146"
"600.0";"2.202374"
"610.0";"2.170971"
"620.0";"2.044564"
"630.0";"2.306871"
"640.0";"2.35029"
"650.0";"2.428148"
"660.0";"2.656968"
"670.0";"2.918152"
"680.0";"3.002551"
"690.0";"2.66102"
"700.0";"3.036039"
"710.0";"2.919971"
"720.0";"2.526468"
"730.0";"2.912786"
"740.0";"3.139096"
"750.0";"3.088457"
"760.0";"3.115201"
"770.0";"3.233389"
"780.0";"3.162349"
"790.0";"3.180113"
"800.0";"3.209398"
"810.0";"3.48504"
"820.0";"3.520815"
"830.0";"3.544863"
"840.0";"3.389141"
"850.0";"3.108814"
"860.0";"3.38505"
"870.0";"3.042409"
"880.0";"2.614708"
"890.0";"3.132232"
"900.0";"3.285733"
"910.0";"3.255976"
"920.0";"3.498994"
"930.0";"3.858996"
"940.0";"4.282118"
"950.0";"4.18008"
"960.0";"4.654865"
"970.0";"4.173334"
"980.0";"4.061514"
"990.0";"4.123892"
"1000.0";"4.041737"
"1010.0";"3.687846"
"1020.0";"3.951256"
"1030.0";"3.572876"
"1040.0";"3.716113"
"1050.0";"3.916945"
"1060.0";"3.735446"
"1070.0";"3.534337"
"1080.0";"3.431631"
"1090.0";"3.374223"
"1100.0";"3.512804"
"1110.0";"3.543519"
"1120.0";"3.659042"
"1130.0";"3.484766"
"1140.0";"3.50483"
"1150.0";"3.624845"
