# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_mindist_mol18_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL18-dimer_area"
"0.0";"3.270366"
"10.0";"3.257182"
"20.0";"3.296091"
"30.0";"3.18657"
"40.0";"3.027748"
"50.0";"3.051079"
"60.0";"2.855464"
"70.0";"2.745915"
"80.0";"2.734838"
"90.0";"2.738004"
"100.0";"2.985668"
"110.0";"3.09457"
"120.0";"2.952783"
"130.0";"2.836043"
"140.0";"2.789636"
"150.0";"3.04647"
"160.0";"3.169722"
"170.0";"3.274438"
"180.0";"3.145289"
"190.0";"3.377599"
"200.0";"3.362634"
"210.0";"3.047657"
"220.0";"2.937937"
"230.0";"2.88565"
"240.0";"2.849856"
"250.0";"2.981678"
"260.0";"3.100675"
"270.0";"3.286665"
"280.0";"3.529804"
"290.0";"3.552948"
"300.0";"3.664247"
"310.0";"3.599654"
"320.0";"3.498148"
"330.0";"3.550703"
"340.0";"3.612781"
"350.0";"3.380328"
"360.0";"3.473407"
"370.0";"3.638774"
"380.0";"3.452837"
"390.0";"3.543523"
"400.0";"3.784229"
"410.0";"3.925934"
"420.0";"4.063972"
"430.0";"4.253884"
"440.0";"4.22014"
"450.0";"4.548651"
"460.0";"4.232678"
"470.0";"4.446131"
"480.0";"4.371743"
"490.0";"4.425457"
"500.0";"4.56987"
"510.0";"4.391694"
"520.0";"4.382486"
"530.0";"4.217356"
"540.0";"4.263015"
"550.0";"4.001066"
"560.0";"3.928997"
"570.0";"4.067153"
"580.0";"3.818781"
"590.0";"3.870764"
"600.0";"4.184493"
"610.0";"4.157781"
"620.0";"3.847304"
"630.0";"3.785525"
"640.0";"4.108363"
"650.0";"4.19945"
"660.0";"4.45132"
"670.0";"4.415431"
"680.0";"4.464036"
"690.0";"4.503265"
"700.0";"4.827548"
"710.0";"4.853756"
"720.0";"4.860647"
"730.0";"4.672843"
"740.0";"4.59715"
"750.0";"4.759119"
"760.0";"4.977396"
"770.0";"4.793367"
"780.0";"4.954219"
"790.0";"5.159362"
"800.0";"4.992052"
"810.0";"4.747282"
"820.0";"4.742929"
"830.0";"4.622762"
"840.0";"4.258979"
"850.0";"4.426037"
"860.0";"4.657762"
"870.0";"4.713651"
"880.0";"4.630348"
"890.0";"4.507268"
"900.0";"4.44029"
"910.0";"4.513474"
"920.0";"4.549467"
"930.0";"4.368272"
"940.0";"4.582294"
"950.0";"4.569048"
"960.0";"4.801685"
"970.0";"4.770879"
"980.0";"4.435023"
"990.0";"4.362787"
"1000.0";"4.323982"
"1010.0";"4.337097"
"1020.0";"4.351151"
"1030.0";"4.357829"
"1040.0";"4.663514"
"1050.0";"4.735063"
"1060.0";"4.828984"
"1070.0";"4.687122"
"1080.0";"4.559561"
"1090.0";"4.57067"
"1100.0";"4.582095"
"1110.0";"4.241643"
"1120.0";"4.10145"
"1130.0";"3.956257"
"1140.0";"3.951546"
"1150.0";"4.140599"
"1160.0";"4.232811"
"1170.0";"4.308467"
"1180.0";"4.26479"
"1190.0";"4.129654"
"1200.0";"3.985123"
"1210.0";"4.463753"
"1220.0";"4.590691"
"1230.0";"4.615247"
"1240.0";"4.513559"
"1250.0";"4.361612"
"1260.0";"4.205451"
"1270.0";"4.265914"
"1280.0";"3.991398"
"1290.0";"3.967019"
"1300.0";"3.889857"
"1310.0";"4.239367"
"1320.0";"3.982387"
"1330.0";"3.921342"
"1340.0";"3.758953"
"1350.0";"3.915728"
"1360.0";"3.816073"
"1370.0";"3.915081"
"1380.0";"4.06185"
"1390.0";"4.208187"
"1400.0";"4.302684"
"1410.0";"4.29999"
"1420.0";"4.642663"
"1430.0";"4.882695"
"1440.0";"4.545161"
"1450.0";"4.523514"
"1460.0";"4.483455"
"1470.0";"4.522996"
"1480.0";"4.550015"
"1490.0";"4.510269"
"1500.0";"4.712544"
"1510.0";"5.092922"
"1520.0";"5.164846"
"1530.0";"5.3262"
"1540.0";"5.371418"
"1550.0";"5.56786"
"1560.0";"5.737408"
"1570.0";"5.83718"
"1580.0";"5.826628"
"1590.0";"5.881986"
"1600.0";"5.990194"
"1610.0";"6.081161"
"1620.0";"6.062054"
"1630.0";"5.982263"
"1640.0";"6.0483"
"1650.0";"6.042734"
"1660.0";"5.555071"
"1670.0";"5.795113"
"1680.0";"5.765725"
"1690.0";"5.52359"
"1700.0";"5.4532"
"1710.0";"5.677692"
"1720.0";"5.724215"
"1730.0";"5.418931"
"1740.0";"5.484656"
"1750.0";"5.37928"
"1760.0";"5.462971"
"1770.0";"5.478262"
"1780.0";"5.50324"
"1790.0";"5.55697"
"1800.0";"5.358559"
"1810.0";"5.319977"
"1820.0";"5.405418"
"1830.0";"5.319661"
"1840.0";"5.374592"
"1850.0";"5.716693"
"1860.0";"5.954766"
"1870.0";"6.207644"
"1880.0";"6.233084"
"1890.0";"6.393865"
"1900.0";"6.384506"
"1910.0";"6.731269"
"1920.0";"6.502328"
"1930.0";"6.510113"
"1940.0";"6.227019"
"1950.0";"6.452435"
"1960.0";"6.391407"
"1970.0";"6.446027"
"1980.0";"6.54582"
"1990.0";"6.663823"
"2000.0";"6.647977"
"2010.0";"6.534435"
"2020.0";"6.443655"
"2030.0";"6.293326"
"2040.0";"6.196633"
"2050.0";"6.170386"
"2060.0";"6.274425"
"2070.0";"6.072121"
"2080.0";"5.834895"
"2090.0";"5.829366"
"2100.0";"5.795999"
"2110.0";"6.113246"
"2120.0";"6.009399"
"2130.0";"5.931578"
"2140.0";"5.89683"
"2150.0";"5.593595"
"2160.0";"5.544464"
"2170.0";"5.540764"
"2180.0";"5.599827"
"2190.0";"5.421277"
"2200.0";"5.719786"
"2210.0";"5.873268"
"2220.0";"5.634827"
"2230.0";"5.529609"
"2240.0";"5.578557"
"2250.0";"5.231527"
"2260.0";"5.144865"
"2270.0";"5.359058"
"2280.0";"5.429842"
"2290.0";"5.489019"
"2300.0";"5.522901"
"2310.0";"5.441697"
"2320.0";"5.238473"
"2330.0";"5.222069"
"2340.0";"5.444222"
"2350.0";"5.699268"
"2360.0";"5.684997"
"2370.0";"5.855451"
"2380.0";"6.212143"
"2390.0";"6.169722"
"2400.0";"6.043433"
"2410.0";"6.103686"
"2420.0";"6.193214"
"2430.0";"6.305753"
"2440.0";"6.353927"
"2450.0";"6.528808"
"2460.0";"6.392068"
"2470.0";"6.273376"
"2480.0";"6.230031"
"2490.0";"6.301413"
"2500.0";"6.075557"
"2510.0";"5.863258"
"2520.0";"5.911408"
"2530.0";"5.934143"
"2540.0";"6.161148"
"2550.0";"6.112749"
"2560.0";"5.937053"
"2570.0";"5.87869"
"2580.0";"5.334125"
"2590.0";"5.484776"
"2600.0";"5.709326"
"2610.0";"5.63053"
"2620.0";"5.733386"
"2630.0";"5.811357"
"2640.0";"5.846585"
"2650.0";"5.843333"
"2660.0";"5.861422"
