# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_pos2_mol15_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL15"
"0.0";"2.516795"
"10.0";"2.558455"
"20.0";"2.679821"
"30.0";"2.713034"
"40.0";"2.523167"
"50.0";"2.394855"
"60.0";"2.49906"
"70.0";"2.310922"
"80.0";"2.494999"
"90.0";"2.420967"
"100.0";"2.458071"
"110.0";"2.252914"
"120.0";"2.001956"
"130.0";"1.924369"
"140.0";"1.916296"
"150.0";"1.921151"
"160.0";"2.005011"
"170.0";"1.822342"
"180.0";"1.779486"
"190.0";"2.014139"
"200.0";"1.901914"
"210.0";"2.103785"
"220.0";"2.129469"
"230.0";"2.176148"
"240.0";"2.059202"
"250.0";"2.210601"
"260.0";"2.02005"
"270.0";"2.027707"
"280.0";"1.924088"
"290.0";"2.069726"
"300.0";"1.783468"
"310.0";"1.922459"
"320.0";"1.754011"
"330.0";"1.735265"
"340.0";"2.046436"
"350.0";"1.925855"
"360.0";"1.795849"
"370.0";"1.962351"
"380.0";"2.033429"
"390.0";"2.041478"
"400.0";"2.047623"
"410.0";"2.112116"
"420.0";"2.004983"
"430.0";"2.291813"
"440.0";"2.311198"
"450.0";"2.104099"
"460.0";"2.253627"
"470.0";"2.13315"
"480.0";"2.075637"
"490.0";"2.108878"
"500.0";"2.083316"
"510.0";"2.079395"
"520.0";"2.004145"
"530.0";"2.05081"
"540.0";"1.95762"
"550.0";"2.118086"
"560.0";"2.302313"
"570.0";"2.398087"
"580.0";"2.375183"
"590.0";"2.392766"
"600.0";"2.30794"
"610.0";"2.477478"
"620.0";"2.457954"
"630.0";"2.503828"
"640.0";"2.335598"
"650.0";"2.273354"
"660.0";"2.459025"
"670.0";"2.429626"
"680.0";"2.458589"
"690.0";"2.566961"
"700.0";"2.715894"
"710.0";"2.693038"
"720.0";"2.484002"
"730.0";"2.593332"
"740.0";"2.538631"
"750.0";"2.562079"
"760.0";"2.61928"
"770.0";"2.801633"
"780.0";"2.894587"
"790.0";"2.576731"
"800.0";"2.52096"
"810.0";"2.900233"
"820.0";"2.908125"
"830.0";"2.900238"
"840.0";"2.876575"
"850.0";"3.149129"
"860.0";"3.408114"
"870.0";"3.695225"
"880.0";"3.936819"
"890.0";"4.07889"
"900.0";"4.180389"
"910.0";"4.348912"
"920.0";"4.094294"
"930.0";"4.227003"
"940.0";"3.903822"
"950.0";"3.83156"
"960.0";"3.749621"
"970.0";"3.767908"
"980.0";"3.566794"
"990.0";"3.353832"
"1000.0";"3.494642"
"1010.0";"3.491308"
"1020.0";"3.685097"
"1030.0";"3.780091"
"1040.0";"3.913555"
"1050.0";"3.910618"
"1060.0";"3.676145"
"1070.0";"3.818846"
"1080.0";"3.707999"
"1090.0";"3.651545"
"1100.0";"3.830527"
"1110.0";"3.758502"
"1120.0";"3.815908"
"1130.0";"4.125058"
"1140.0";"4.229474"
"1150.0";"4.040295"
"1160.0";"4.108629"
"1170.0";"3.907097"
"1180.0";"3.857067"
"1190.0";"4.025587"
"1200.0";"3.752597"
"1210.0";"3.976128"
"1220.0";"3.753601"
"1230.0";"3.662302"
"1240.0";"3.644273"
"1250.0";"3.638403"
"1260.0";"3.611036"
"1270.0";"3.542847"
"1280.0";"3.611207"
"1290.0";"3.601072"
"1300.0";"3.365346"
"1310.0";"3.405283"
"1320.0";"3.476078"
"1330.0";"3.333125"
"1340.0";"3.341576"
"1350.0";"3.451561"
"1360.0";"3.45676"
"1370.0";"3.300938"
"1380.0";"3.421693"
"1390.0";"3.261162"
"1400.0";"3.129494"
"1410.0";"3.284295"
"1420.0";"3.477371"
"1430.0";"3.523628"
"1440.0";"3.519872"
"1450.0";"3.654724"
"1460.0";"3.62703"
"1470.0";"3.691571"
"1480.0";"3.779116"
"1490.0";"3.882712"
"1500.0";"4.071297"
"1510.0";"3.987099"
"1520.0";"3.90789"
"1530.0";"4.022849"
"1540.0";"3.797558"
"1550.0";"3.756427"
"1560.0";"3.391496"
"1570.0";"3.1844"
"1580.0";"3.264351"
"1590.0";"3.246283"
"1600.0";"3.248702"
"1610.0";"2.945801"
"1620.0";"2.876595"
"1630.0";"2.902885"
"1640.0";"2.792291"
"1650.0";"2.775741"
"1660.0";"2.955676"
"1670.0";"2.74689"
"1680.0";"2.708026"
"1690.0";"2.555844"
"1700.0";"2.623748"
"1710.0";"2.639316"
"1720.0";"2.705371"
"1730.0";"2.610006"
"1740.0";"2.518496"
"1750.0";"2.730618"
"1760.0";"2.830103"
"1770.0";"3.016297"
"1780.0";"3.274455"
"1790.0";"3.358064"
"1800.0";"3.416221"
"1810.0";"3.587578"
"1820.0";"3.49376"
"1830.0";"3.531372"
"1840.0";"3.649762"
"1850.0";"3.417745"
"1860.0";"3.192904"
"1870.0";"2.72536"
"1880.0";"2.952928"
"1890.0";"2.94589"
"1900.0";"2.932561"
"1910.0";"2.950098"
"1920.0";"2.953916"
"1930.0";"2.814858"
"1940.0";"2.630292"
"1950.0";"2.506178"
"1960.0";"2.335095"
"1970.0";"2.523063"
"1980.0";"2.307538"
"1990.0";"2.540854"
"2000.0";"2.6393"
"2010.0";"2.725727"
"2020.0";"2.580448"
"2030.0";"2.811806"
"2040.0";"2.738747"
"2050.0";"2.901651"
"2060.0";"2.945588"
"2070.0";"3.08312"
"2080.0";"2.909674"
"2090.0";"2.768397"
"2100.0";"2.71021"
"2110.0";"2.82602"
"2120.0";"2.855684"
"2130.0";"2.960499"
"2140.0";"2.989612"
"2150.0";"2.919524"
"2160.0";"3.145785"
"2170.0";"3.26634"
"2180.0";"3.063145"
"2190.0";"2.73202"
"2200.0";"2.86116"
"2210.0";"2.822006"
"2220.0";"2.72998"
"2230.0";"2.61968"
"2240.0";"2.627039"
"2250.0";"2.569389"
"2260.0";"2.610711"
"2270.0";"2.682602"
"2280.0";"2.820075"
"2290.0";"2.969615"
"2300.0";"2.911366"
"2310.0";"2.972751"
"2320.0";"3.21295"
"2330.0";"3.288853"
"2340.0";"3.118501"
"2350.0";"3.489729"
"2360.0";"3.376082"
"2370.0";"3.362598"
"2380.0";"3.449"
"2390.0";"3.17672"
"2400.0";"3.323546"
"2410.0";"3.292431"
"2420.0";"3.096122"
"2430.0";"3.071352"
"2440.0";"3.364558"
"2450.0";"3.243818"
"2460.0";"3.172335"
"2470.0";"2.940032"
"2480.0";"3.05355"
"2490.0";"3.069432"
"2500.0";"3.229848"
"2510.0";"3.111766"
"2520.0";"3.009794"
"2530.0";"2.618689"
"2540.0";"2.676252"
"2550.0";"2.849944"
"2560.0";"2.746524"
"2570.0";"2.699693"
"2580.0";"2.703594"
"2590.0";"2.741715"
"2600.0";"2.716585"
"2610.0";"2.744673"
"2620.0";"2.77476"
"2630.0";"2.850549"
"2640.0";"2.938082"
"2650.0";"2.92097"
"2660.0";"2.696883"
"2670.0";"2.660208"
"2680.0";"2.595878"
"2690.0";"2.833451"
"2700.0";"2.986843"
"2710.0";"3.012933"
"2720.0";"3.073392"
"2730.0";"3.116369"
"2740.0";"3.430268"
"2750.0";"3.637926"
"2760.0";"3.651996"
"2770.0";"3.57906"
"2780.0";"3.330295"
"2790.0";"3.314165"
"2800.0";"3.263614"
"2810.0";"3.362097"
"2820.0";"3.428198"
"2830.0";"3.418933"
"2840.0";"3.334422"
"2850.0";"3.471874"
"2860.0";"3.462746"
"2870.0";"3.304774"
"2880.0";"3.288194"
"2890.0";"3.240272"
"2900.0";"3.283258"
"2910.0";"3.220813"
"2920.0";"3.202552"
"2930.0";"3.370492"
"2940.0";"3.413916"
"2950.0";"3.329471"
"2960.0";"3.227179"
"2970.0";"3.214261"
"2980.0";"3.247146"
"2990.0";"3.664996"
"3000.0";"3.673105"
"3010.0";"3.850616"
"3020.0";"4.241948"
"3030.0";"4.341461"
"3040.0";"4.375549"
"3050.0";"4.408269"
