# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_mindist_mol13_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL13"
"0.0";"3.352637"
"10.0";"3.467162"
"20.0";"3.2589"
"30.0";"3.211807"
"40.0";"3.192916"
"50.0";"3.192694"
"60.0";"3.086163"
"70.0";"2.901549"
"80.0";"3.109126"
"90.0";"3.036777"
"100.0";"3.010034"
"110.0";"2.923058"
"120.0";"2.872457"
"130.0";"2.687971"
"140.0";"2.62852"
"150.0";"2.594808"
"160.0";"2.273304"
"170.0";"2.425347"
"180.0";"2.23999"
"190.0";"2.421214"
"200.0";"2.409321"
"210.0";"2.623373"
"220.0";"2.684502"
"230.0";"2.610511"
"240.0";"2.588233"
"250.0";"2.816835"
"260.0";"2.354459"
"270.0";"2.510116"
"280.0";"2.374027"
"290.0";"2.222295"
"300.0";"2.141485"
"310.0";"2.137894"
"320.0";"2.317164"
"330.0";"2.438529"
"340.0";"2.695872"
"350.0";"2.694851"
"360.0";"2.588682"
"370.0";"2.346855"
"380.0";"2.108151"
"390.0";"2.235437"
"400.0";"2.257895"
"410.0";"2.436679"
"420.0";"2.331229"
"430.0";"2.568274"
"440.0";"2.465692"
"450.0";"2.205434"
"460.0";"1.918388"
"470.0";"1.781945"
"480.0";"2.08139"
"490.0";"2.187416"
"500.0";"2.337125"
"510.0";"2.236349"
"520.0";"2.140557"
"530.0";"2.042718"
"540.0";"1.980394"
"550.0";"2.169577"
"560.0";"2.008076"
"570.0";"1.97507"
"580.0";"1.887225"
"590.0";"1.706304"
"600.0";"1.580126"
"610.0";"1.558378"
"620.0";"1.978724"
"630.0";"1.800114"
"640.0";"1.551849"
"650.0";"1.59804"
"660.0";"1.515881"
"670.0";"1.291715"
"680.0";"1.348776"
"690.0";"1.233774"
"700.0";"1.110037"
"710.0";"1.243596"
"720.0";"0.9547346"
"730.0";"0.9036039"
"740.0";"1.200791"
"750.0";"0.9701754"
"760.0";"0.974718"
"770.0";"0.7574778"
"780.0";"0.6103845"
"790.0";"0.5892341"
"800.0";"0.5059342"
"810.0";"0.4700564"
"820.0";"0.4110975"
"830.0";"0.4435154"
"840.0";"0.311246"
"850.0";"0.4626325"
"860.0";"0.3785142"
"870.0";"0.4279594"
"880.0";"0.6074163"
"890.0";"0.6346588"
"900.0";"0.6577888"
"910.0";"0.4708991"
"920.0";"0.9189783"
"930.0";"0.6583765"
"940.0";"0.5360997"
"950.0";"0.4298606"
"960.0";"0.4245158"
"970.0";"0.374294"
"980.0";"0.4291025"
"990.0";"0.4027217"
"1000.0";"0.4147521"
"1010.0";"0.438462"
"1020.0";"0.5758725"
"1030.0";"0.6934733"
"1040.0";"0.5952527"
"1050.0";"0.6402257"
"1060.0";"0.7722163"
"1070.0";"0.6466695"
"1080.0";"0.7251468"
"1090.0";"0.8695009"
"1100.0";"0.9843758"
"1110.0";"1.114591"
"1120.0";"0.9421616"
"1130.0";"1.11476"
"1140.0";"0.9697922"
"1150.0";"1.187519"
"1160.0";"1.176327"
"1170.0";"1.155105"
"1180.0";"0.8871496"
"1190.0";"0.9438613"
"1200.0";"1.008692"
"1210.0";"0.883965"
"1220.0";"0.8364138"
"1230.0";"0.8611911"
"1240.0";"0.8491533"
"1250.0";"0.6331546"
"1260.0";"0.6486576"
"1270.0";"0.4880697"
"1280.0";"0.525336"
"1290.0";"0.4497196"
"1300.0";"0.3289149"
"1310.0";"0.3788471"
"1320.0";"0.1987989"
"1330.0";"0.2878698"
"1340.0";"0.1849758"
"1350.0";"0.1934246"
"1360.0";"0.3765237"
"1370.0";"0.3150633"
"1380.0";"0.4494819"
"1390.0";"0.3887671"
"1400.0";"0.3901823"
"1410.0";"0.4336841"
"1420.0";"0.3147331"
"1430.0";"0.27909"
"1440.0";"0.2641023"
"1450.0";"0.3213678"
"1460.0";"0.2928993"
"1470.0";"0.1952355"
"1480.0";"0.177192"
"1490.0";"0.1778257"
"1500.0";"0.2624463"
"1510.0";"0.1860592"
"1520.0";"0.2081033"
"1530.0";"0.2054701"
"1540.0";"0.1998352"
"1550.0";"0.231972"
"1560.0";"0.2120211"
"1570.0";"0.2052655"
"1580.0";"0.1955736"
"1590.0";"0.1970406"
"1600.0";"0.3280455"
"1610.0";"0.3764692"
"1620.0";"0.2522578"
"1630.0";"0.3268617"
"1640.0";"0.2541909"
"1650.0";"0.2582036"
"1660.0";"0.233311"
"1670.0";"0.2179788"
"1680.0";"0.2878384"
"1690.0";"0.2383627"
"1700.0";"0.2631998"
"1710.0";"0.2203568"
"1720.0";"0.219914"
"1730.0";"0.1883693"
"1740.0";"0.2002527"
"1750.0";"0.2492631"
"1760.0";"0.2428912"
"1770.0";"0.1978941"
"1780.0";"0.1979165"
"1790.0";"0.174293"
"1800.0";"0.1980328"
"1810.0";"0.174797"
"1820.0";"0.1969488"
"1830.0";"0.1717443"
"1840.0";"0.2005937"
"1850.0";"0.265038"
"1860.0";"0.2504755"
"1870.0";"0.2609985"
"1880.0";"0.3188885"
"1890.0";"0.2617799"
"1900.0";"0.2543246"
"1910.0";"0.2313849"
"1920.0";"0.1997329"
"1930.0";"0.2002424"
"1940.0";"0.2297607"
"1950.0";"0.1715134"
"1960.0";"0.1888785"
"1970.0";"0.1942368"
"1980.0";"0.1990401"
"1990.0";"0.1907509"
"2000.0";"0.209031"
"2010.0";"0.1949515"
"2020.0";"0.1753425"
"2030.0";"0.1771046"
"2040.0";"0.1737241"
"2050.0";"0.186314"
"2060.0";"0.1871713"
"2070.0";"0.1802831"
"2080.0";"0.2040343"
"2090.0";"0.1724209"
"2100.0";"0.1911906"
"2110.0";"0.1775536"
"2120.0";"0.1715661"
"2130.0";"0.1885974"
"2140.0";"0.1896183"
"2150.0";"0.1999678"
"2160.0";"0.2287117"
"2170.0";"0.1756815"
"2180.0";"0.2122332"
"2190.0";"0.1883244"
"2200.0";"0.1978031"
"2210.0";"0.1922338"
"2220.0";"0.1809363"
"2230.0";"0.2003943"
"2240.0";"0.2346085"
"2250.0";"0.3655819"
"2260.0";"0.3732892"
"2270.0";"0.439238"
"2280.0";"0.3754119"
"2290.0";"0.4123276"
"2300.0";"0.6491947"
