# This .csv file was created 12.10.2024 14:27
# extracted out of file prod_mindist_neg1_mol18_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL18"
"0.0";"4.072794"
"10.0";"4.134246"
"20.0";"4.159204"
"30.0";"4.124342"
"40.0";"4.129216"
"50.0";"4.122456"
"60.0";"4.044366"
"70.0";"4.14656"
"80.0";"4.075225"
"90.0";"3.835476"
"100.0";"3.950774"
"110.0";"3.833387"
"120.0";"3.993185"
"130.0";"4.064262"
"140.0";"4.054586"
"150.0";"4.007888"
"160.0";"4.023931"
"170.0";"4.096481"
"180.0";"4.004842"
"190.0";"3.865148"
"200.0";"3.885699"
"210.0";"4.0802"
"220.0";"3.808882"
"230.0";"4.063678"
"240.0";"4.22034"
"250.0";"4.227719"
"260.0";"4.106052"
"270.0";"3.878754"
"280.0";"3.826555"
"290.0";"3.82018"
"300.0";"3.705891"
"310.0";"3.849712"
"320.0";"3.787815"
"330.0";"3.585001"
"340.0";"3.588462"
"350.0";"3.505167"
"360.0";"3.364427"
"370.0";"3.50578"
"380.0";"3.195303"
"390.0";"3.245874"
"400.0";"3.332327"
"410.0";"3.242839"
"420.0";"3.406668"
"430.0";"3.591633"
"440.0";"3.498615"
"450.0";"3.253001"
"460.0";"3.542852"
"470.0";"3.298199"
"480.0";"3.557378"
"490.0";"3.422752"
"500.0";"3.449029"
"510.0";"3.657434"
"520.0";"3.626137"
"530.0";"3.353937"
"540.0";"3.193183"
"550.0";"3.249858"
"560.0";"3.084404"
"570.0";"3.085184"
"580.0";"3.167244"
"590.0";"3.465529"
"600.0";"3.136228"
"610.0";"3.125032"
"620.0";"3.177489"
"630.0";"3.21964"
"640.0";"3.424735"
"650.0";"3.50562"
"660.0";"3.516411"
"670.0";"3.625057"
"680.0";"3.543251"
"690.0";"3.417665"
"700.0";"3.329815"
"710.0";"3.513916"
"720.0";"3.41978"
"730.0";"3.241427"
"740.0";"3.400477"
"750.0";"3.39312"
"760.0";"3.272542"
"770.0";"3.049812"
"780.0";"3.185278"
"790.0";"3.241373"
"800.0";"3.185008"
"810.0";"3.093295"
"820.0";"3.144861"
"830.0";"3.480251"
"840.0";"3.647009"
"850.0";"3.84116"
"860.0";"3.825971"
"870.0";"3.803537"
"880.0";"3.666435"
"890.0";"3.681995"
"900.0";"3.750674"
"910.0";"3.727314"
"920.0";"3.813371"
"930.0";"3.649329"
"940.0";"3.499076"
"950.0";"3.428336"
"960.0";"3.630153"
"970.0";"3.34653"
"980.0";"2.961419"
"990.0";"2.971076"
"1000.0";"3.09781"
"1010.0";"3.08802"
"1020.0";"2.971799"
"1030.0";"3.312577"
"1040.0";"3.424984"
"1050.0";"3.460694"
"1060.0";"3.557862"
"1070.0";"3.36917"
"1080.0";"3.542003"
"1090.0";"3.662166"
"1100.0";"3.805187"
"1110.0";"4.040506"
"1120.0";"4.153132"
"1130.0";"4.180398"
"1140.0";"4.173255"
"1150.0";"4.127687"
"1160.0";"4.138332"
"1170.0";"4.144391"
"1180.0";"4.181651"
"1190.0";"4.142245"
"1200.0";"4.289515"
"1210.0";"4.358735"
"1220.0";"4.19543"
"1230.0";"4.177585"
"1240.0";"3.978497"
"1250.0";"3.985992"
"1260.0";"3.952598"
"1270.0";"3.772192"
"1280.0";"3.616255"
"1290.0";"3.656577"
"1300.0";"3.798573"
"1310.0";"3.967751"
"1320.0";"3.990955"
"1330.0";"3.750461"
"1340.0";"3.977223"
"1350.0";"3.853863"
"1360.0";"3.902362"
"1370.0";"3.889364"
"1380.0";"3.979265"
"1390.0";"3.990553"
"1400.0";"3.736856"
"1410.0";"3.830334"
"1420.0";"3.936483"
"1430.0";"3.874295"
"1440.0";"3.945024"
"1450.0";"4.037741"
"1460.0";"4.013479"
"1470.0";"4.15519"
"1480.0";"4.245616"
"1490.0";"4.34842"
"1500.0";"4.274742"
"1510.0";"4.248385"
"1520.0";"4.310719"
"1530.0";"4.426145"
"1540.0";"4.431377"
"1550.0";"4.460618"
"1560.0";"4.631299"
"1570.0";"4.749485"
"1580.0";"4.845324"
"1590.0";"4.805612"
"1600.0";"5.03714"
"1610.0";"5.157634"
"1620.0";"5.177732"
"1630.0";"4.859392"
"1640.0";"4.885436"
"1650.0";"5.065755"
"1660.0";"5.187115"
"1670.0";"5.209889"
"1680.0";"5.303684"
"1690.0";"5.248709"
"1700.0";"5.380584"
"1710.0";"5.467329"
"1720.0";"5.529564"
"1730.0";"5.532969"
"1740.0";"5.616024"
"1750.0";"5.372235"
"1760.0";"5.442859"
"1770.0";"5.144482"
"1780.0";"5.397256"
"1790.0";"5.294777"
"1800.0";"5.000359"
"1810.0";"4.928933"
"1820.0";"4.750812"
"1830.0";"4.732816"
"1840.0";"4.816393"
"1850.0";"4.793921"
"1860.0";"4.7765"
"1870.0";"4.940313"
"1880.0";"4.79394"
"1890.0";"4.772998"
"1900.0";"4.888618"
"1910.0";"4.847178"
"1920.0";"4.920922"
"1930.0";"4.800359"
"1940.0";"4.768482"
"1950.0";"4.627597"
"1960.0";"4.524791"
"1970.0";"4.417134"
"1980.0";"4.488233"
"1990.0";"4.700809"
"2000.0";"4.778311"
"2010.0";"4.683635"
"2020.0";"4.772007"
"2030.0";"4.808915"
"2040.0";"4.845785"
"2050.0";"4.92269"
"2060.0";"4.81698"
"2070.0";"4.760669"
"2080.0";"4.764131"
"2090.0";"4.783763"
"2100.0";"4.881432"
"2110.0";"4.50653"
"2120.0";"4.422993"
"2130.0";"4.319215"
"2140.0";"4.253655"
"2150.0";"4.214909"
"2160.0";"4.15659"
"2170.0";"4.092285"
"2180.0";"3.799651"
"2190.0";"3.980682"
"2200.0";"3.980869"
"2210.0";"4.157813"
"2220.0";"3.996525"
"2230.0";"4.043853"
"2240.0";"4.129894"
"2250.0";"4.263135"
"2260.0";"4.097552"
"2270.0";"4.017396"
"2280.0";"4.230685"
"2290.0";"4.319679"
"2300.0";"4.390411"
