# This .csv file was created 12.10.2024 14:27
# extracted out of file prod_mindist_mol5_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL5-inner_dimer_area"
"0.0";"2.577913"
"10.0";"2.707249"
"20.0";"2.658578"
"30.0";"2.649013"
"40.0";"2.592933"
"50.0";"2.521565"
"60.0";"2.668362"
"70.0";"2.582604"
"80.0";"2.656948"
"90.0";"2.627318"
"100.0";"2.663818"
"110.0";"2.585642"
"120.0";"2.62002"
"130.0";"2.596842"
"140.0";"2.542085"
"150.0";"2.534059"
"160.0";"2.724169"
"170.0";"2.725296"
"180.0";"2.748698"
"190.0";"2.774599"
"200.0";"2.742255"
"210.0";"2.748919"
"220.0";"2.799408"
"230.0";"2.826873"
"240.0";"2.814089"
"250.0";"2.972255"
"260.0";"2.868567"
"270.0";"2.897369"
"280.0";"2.922627"
"290.0";"2.934554"
"300.0";"3.012787"
"310.0";"2.984028"
"320.0";"2.86428"
"330.0";"2.876413"
"340.0";"2.949469"
"350.0";"2.957426"
"360.0";"2.931273"
"370.0";"2.929851"
"380.0";"2.859748"
"390.0";"2.860695"
"400.0";"2.87993"
"410.0";"2.842206"
"420.0";"2.805499"
"430.0";"3.004786"
"440.0";"2.92833"
"450.0";"3.023565"
"460.0";"2.978282"
"470.0";"2.9766"
"480.0";"3.103983"
"490.0";"3.15848"
"500.0";"3.188061"
"510.0";"3.123894"
"520.0";"3.083785"
"530.0";"3.036539"
"540.0";"2.939431"
"550.0";"2.932056"
"560.0";"2.9441"
"570.0";"3.005401"
"580.0";"2.860559"
"590.0";"2.716888"
"600.0";"2.749166"
"610.0";"2.725748"
"620.0";"2.779296"
"630.0";"2.859222"
"640.0";"2.988563"
"650.0";"2.858076"
"660.0";"2.841753"
"670.0";"2.860947"
"680.0";"2.887593"
"690.0";"2.841363"
"700.0";"2.92595"
"710.0";"2.884288"
"720.0";"2.893344"
"730.0";"2.970303"
