# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_mol6_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL6"
"0.0";"2.182392"
"10.0";"2.1416"
"20.0";"2.075281"
"30.0";"2.144083"
"40.0";"2.083568"
"50.0";"2.051483"
"60.0";"2.021911"
"70.0";"2.011955"
"80.0";"1.95157"
"90.0";"2.074085"
"100.0";"2.171061"
"110.0";"2.4147"
"120.0";"2.339951"
"130.0";"2.402768"
"140.0";"2.482633"
"150.0";"2.577846"
"160.0";"2.326964"
"170.0";"2.3152"
"180.0";"2.381103"
"190.0";"2.57032"
"200.0";"2.672622"
"210.0";"2.825977"
"220.0";"2.848548"
"230.0";"2.559226"
"240.0";"2.699585"
"250.0";"2.712637"
"260.0";"2.45895"
"270.0";"2.531091"
"280.0";"2.597628"
"290.0";"2.619534"
"300.0";"2.544825"
"310.0";"2.633476"
"320.0";"2.540224"
"330.0";"2.376815"
"340.0";"2.327131"
"350.0";"2.054214"
"360.0";"2.233586"
"370.0";"2.222099"
"380.0";"2.266398"
"390.0";"2.162648"
"400.0";"2.414212"
"410.0";"2.541934"
"420.0";"2.508215"
"430.0";"2.499493"
"440.0";"2.241322"
"450.0";"2.046498"
"460.0";"2.08589"
"470.0";"2.099224"
"480.0";"2.118031"
"490.0";"1.948131"
"500.0";"2.316161"
"510.0";"2.054765"
"520.0";"1.934237"
"530.0";"1.882302"
"540.0";"1.777646"
"550.0";"1.672935"
"560.0";"1.777723"
"570.0";"1.786633"
"580.0";"2.036838"
"590.0";"2.106096"
"600.0";"2.163075"
"610.0";"1.933139"
"620.0";"2.091293"
"630.0";"2.152443"
"640.0";"2.125114"
"650.0";"2.319516"
"660.0";"2.290706"
"670.0";"2.334131"
"680.0";"2.297106"
"690.0";"2.43708"
"700.0";"2.604893"
"710.0";"2.63553"
"720.0";"2.590759"
"730.0";"2.898854"
"740.0";"2.800335"
"750.0";"2.946121"
"760.0";"2.90448"
"770.0";"2.876745"
"780.0";"3.100171"
"790.0";"3.199567"
"800.0";"3.195889"
"810.0";"3.319268"
"820.0";"3.510656"
"830.0";"3.311073"
"840.0";"3.287957"
"850.0";"3.104232"
"860.0";"3.205798"
"870.0";"3.160663"
"880.0";"3.181883"
"890.0";"3.154396"
"900.0";"3.224851"
"910.0";"3.130237"
"920.0";"3.011007"
"930.0";"3.011294"
"940.0";"3.045536"
"950.0";"3.160897"
"960.0";"3.239814"
"970.0";"3.503783"
"980.0";"3.268228"
"990.0";"3.292209"
"1000.0";"3.288945"
"1010.0";"3.21216"
"1020.0";"3.275457"
"1030.0";"3.2632"
"1040.0";"3.398931"
"1050.0";"3.284507"
"1060.0";"3.243752"
"1070.0";"3.313457"
"1080.0";"3.210916"
"1090.0";"3.252878"
"1100.0";"3.286036"
"1110.0";"3.370242"
"1120.0";"3.097049"
"1130.0";"3.41936"
"1140.0";"3.311384"
"1150.0";"3.364566"
"1160.0";"3.617188"
"1170.0";"3.745969"
"1180.0";"3.604106"
"1190.0";"3.782013"
"1200.0";"4.176203"
"1210.0";"4.089786"
"1220.0";"4.121412"
"1230.0";"4.082702"
"1240.0";"3.906039"
"1250.0";"3.871938"
"1260.0";"3.625424"
"1270.0";"3.906811"
"1280.0";"4.226134"
"1290.0";"4.006687"
"1300.0";"4.035376"
"1310.0";"3.757338"
"1320.0";"3.367309"
"1330.0";"3.457602"
"1340.0";"3.49318"
"1350.0";"3.653907"
"1360.0";"3.588169"
"1370.0";"3.596558"
"1380.0";"3.527194"
"1390.0";"3.501957"
"1400.0";"3.309348"
"1410.0";"3.378551"
"1420.0";"3.339812"
"1430.0";"3.17022"
"1440.0";"3.373866"
"1450.0";"3.257296"
"1460.0";"3.263736"
"1470.0";"3.419675"
"1480.0";"3.57851"
"1490.0";"3.588609"
"1500.0";"3.518833"
"1510.0";"3.603305"
"1520.0";"3.371187"
"1530.0";"3.436072"
"1540.0";"3.431555"
"1550.0";"3.666354"
"1560.0";"3.686481"
"1570.0";"3.718458"
"1580.0";"3.765347"
"1590.0";"3.642072"
"1600.0";"3.712603"
"1610.0";"3.840773"
"1620.0";"3.764406"
"1630.0";"3.700897"
"1640.0";"3.477856"
"1650.0";"3.680522"
"1660.0";"3.73131"
"1670.0";"3.863957"
"1680.0";"3.913263"
"1690.0";"3.542642"
"1700.0";"3.416126"
"1710.0";"3.484944"
"1720.0";"3.699265"
"1730.0";"3.748764"
"1740.0";"3.586019"
"1750.0";"3.829779"
"1760.0";"3.697039"
"1770.0";"3.943181"
"1780.0";"3.993273"
"1790.0";"3.812773"
"1800.0";"4.134994"
"1810.0";"3.964255"
"1820.0";"3.869184"
"1830.0";"3.859618"
"1840.0";"3.603513"
"1850.0";"3.636047"
"1860.0";"3.815216"
"1870.0";"3.728349"
"1880.0";"3.668701"
"1890.0";"3.661038"
"1900.0";"3.661932"
"1910.0";"3.783156"
"1920.0";"4.010445"
"1930.0";"3.796441"
"1940.0";"3.809601"
"1950.0";"3.475984"
"1960.0";"3.497803"
"1970.0";"3.57515"
"1980.0";"3.415405"
"1990.0";"3.339993"
"2000.0";"3.384382"
"2010.0";"3.148778"
"2020.0";"3.069993"
"2030.0";"3.073824"
"2040.0";"2.932125"
"2050.0";"3.045207"
"2060.0";"2.832779"
"2070.0";"2.665726"
"2080.0";"2.611687"
"2090.0";"2.468091"
"2100.0";"2.517389"
"2110.0";"2.489787"
"2120.0";"2.573364"
"2130.0";"2.802606"
"2140.0";"2.928157"
"2150.0";"2.854108"
"2160.0";"3.011209"
"2170.0";"2.959233"
"2180.0";"2.700812"
"2190.0";"2.853797"
"2200.0";"3.039151"
"2210.0";"2.98363"
"2220.0";"2.861743"
"2230.0";"2.639868"
"2240.0";"2.455472"
"2250.0";"2.527297"
"2260.0";"2.621528"
"2270.0";"2.891695"
"2280.0";"3.067126"
"2290.0";"3.071125"
"2300.0";"2.821872"
"2310.0";"2.697362"
"2320.0";"2.653171"
"2330.0";"2.882241"
"2340.0";"2.923172"
"2350.0";"2.707696"
"2360.0";"2.739484"
"2370.0";"2.767302"
"2380.0";"2.596748"
"2390.0";"2.745372"
"2400.0";"2.918391"
"2410.0";"2.758405"
"2420.0";"2.827695"
"2430.0";"2.90585"
"2440.0";"2.922749"
"2450.0";"2.819488"
"2460.0";"3.004081"
"2470.0";"3.087011"
"2480.0";"3.201766"
"2490.0";"3.191897"
"2500.0";"3.197924"
"2510.0";"3.189968"
"2520.0";"3.215657"
"2530.0";"3.141112"
"2540.0";"3.268267"
"2550.0";"3.234107"
"2560.0";"3.115411"
"2570.0";"2.936133"
"2580.0";"2.844238"
"2590.0";"2.768767"
"2600.0";"2.78362"
"2610.0";"2.565964"
"2620.0";"2.51476"
"2630.0";"2.856664"
"2640.0";"2.724754"
"2650.0";"3.134043"
"2660.0";"3.057715"
"2670.0";"3.140269"
"2680.0";"3.206638"
"2690.0";"3.615656"
"2700.0";"3.599643"
"2710.0";"3.637135"
"2720.0";"3.498136"
"2730.0";"3.353969"
"2740.0";"3.279439"
"2750.0";"3.076417"
"2760.0";"3.207937"
"2770.0";"3.194036"
"2780.0";"3.089548"
"2790.0";"3.14156"
"2800.0";"3.253297"
"2810.0";"2.977246"
"2820.0";"2.981989"
"2830.0";"2.993246"
"2840.0";"2.927594"
"2850.0";"2.866716"
"2860.0";"2.933234"
"2870.0";"3.096315"
"2880.0";"2.978403"
"2890.0";"3.011651"
"2900.0";"3.214489"
"2910.0";"3.120466"
"2920.0";"3.226913"
"2930.0";"3.233298"
"2940.0";"3.430981"
"2950.0";"3.5449"
"2960.0";"3.543463"
"2970.0";"3.644422"
"2980.0";"3.596223"
"2990.0";"3.360287"
"3000.0";"3.251039"
"3010.0";"3.173932"
"3020.0";"3.220259"
"3030.0";"3.102093"
"3040.0";"3.100177"
"3050.0";"3.347008"
"3060.0";"3.298356"
"3070.0";"3.400545"
"3080.0";"3.425577"
"3090.0";"3.430818"
"3100.0";"3.154541"
"3110.0";"3.262243"
"3120.0";"3.255626"
